kList(4),            Time(us),                Time%,   Calls (Top 142, sorted by calls)
-------------------------------------------------------------
('aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 10454.170999994269, 0.10448442320724796%, 312
('aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 21445.689000005135, 0.21433937185921173%, 159
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty'), 1673.9810000028228, 0.016730636914709253%, 159
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::add_'), 3585.1159999989904, 0.03583151427226279%, 156
('aten::empty_strided', 'aten::copy_', 'aten::add_', 'aten::mul_'), 5501.058000002755, 0.0549804352884815%, 156
('aten::copy_', 'aten::add_', 'aten::mul_', 'aten::to'), 6233.807000002125, 0.06230390996865116%, 156
('aten::add_', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 6079.44700000342, 0.06076115583098263%, 156
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcmul_'), 3682.441999995848, 0.036804240944970354%, 156
('aten::empty_strided', 'aten::copy_', 'aten::addcmul_', 'aten::addcmul'), 4596.333999997936, 0.04593815299729749%, 156
('aten::copy_', 'aten::addcmul_', 'aten::addcmul', 'aten::sqrt'), 13407.489000000758, 0.13400141960786455%, 156
('aten::addcmul_', 'aten::addcmul', 'aten::sqrt', 'aten::empty'), 14008.97500000312, 0.1400129835833836%, 156
('aten::addcmul', 'aten::sqrt', 'aten::empty', 'aten::div'), 16218.717000005534, 0.16209829463360548%, 156
('aten::sqrt', 'aten::empty', 'aten::div', 'aten::to'), 15349.462000007043, 0.15341050797936878%, 156
('aten::empty', 'aten::div', 'aten::to', 'aten::empty_strided'), 6544.679000003962, 0.0654109264514974%, 156
('aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::add_'), 2872.762999997707, 0.028711887826021618%, 156
('aten::copy_', 'aten::empty', 'aten::add_', 'aten::to'), 3619.219999997411, 0.03617236738906152%, 156
('aten::empty', 'aten::add_', 'aten::to', 'aten::empty_strided'), 3453.129999996396, 0.03451237752945358%, 156
('aten::add_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 3476.463000001386, 0.034745579669271026%, 156
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcdiv_'), 4692.396000003442, 0.04689824659656188%, 156
('aten::empty_strided', 'aten::copy_', 'aten::addcdiv_', 'aten::addcdiv'), 6454.374000002863, 0.0645083713050539%, 155
('aten::copy_', 'aten::addcdiv_', 'aten::addcdiv', 'aten::mul_'), 11237.244000000646, 0.11231086212190514%, 153
('aten::addcdiv_', 'aten::addcdiv', 'aten::mul_', 'aten::to'), 11863.79099999601, 0.11857289876802302%, 153
('aten::addcdiv', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 8583.428999995347, 0.08578725450400329%, 153
('aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 5108.100000000559, 0.05105300862070214%, 104
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::zeros_like'), 2324.1270000005607, 0.02322853424299098%, 87
('aten::empty_strided', 'aten::zero_', 'aten::zeros_like', 'aten::empty_like'), 2300.829000000609, 0.02299568191143081%, 87
('aten::zero_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 2321.024000000907, 0.023197521246821694%, 87
('aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution'), 3738930.4160000053, 37.36881555964699%, 78
('aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty'), 2804780.070000002, 28.032431059076362%, 78
('aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_'), 1869795.1100000006, 18.68770499202566%, 78
('aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_', 'aten::relu_'), 1024688.707999999, 10.241271988225439%, 78
('aten::empty', 'aten::as_strided_', 'aten::relu_', 'aten::threshold_'), 179315.27599999707, 1.7921701476968797%, 78
('aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::as_strided_', 'aten::empty'), 846305.1329999972, 8.458413744991015%, 78
('aten::empty', 'aten::as_strided_', 'aten::empty', 'aten::as_strided_'), 1424.5029999997932, 0.014237224004854554%, 78
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_'), 2120562.9770000004, 21.19400950363363%, 75
('aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights'), 1407420.461999997, 14.06649223379154%, 75
('aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty'), 696933.3899999978, 6.96551484264622%, 75
('aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::as_strided_'), 695404.564999996, 6.9502349703053055%, 75
('aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::zero_'), 1327.770999994129, 0.01327043407705627%, 58
('aten::as_strided_', 'aten::relu_', 'aten::threshold_', 'aten::conv2d'), 500883.22700000054, 5.00608752882546%, 48
('aten::relu_', 'aten::threshold_', 'aten::conv2d', 'aten::convolution'), 942005.4430000004, 9.414892426190187%, 48
('aten::threshold_', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 1352851.6440000013, 13.521103080138516%, 48
('aten::resize_', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 509306.9410000013, 5.090278508536179%, 24
('aten::as_strided_', 'aten::relu_', 'aten::threshold_', 'aten::cat'), 141551.2379999989, 1.4147367071678731%, 24
