kList(5),            Time(us),                Time%,   Calls (Top 149, sorted by time)
-------------------------------------------------------------
('aten::empty_strided', 'aten::copy_', 'aten::mul', 'aten::empty', 'aten::conv2d'), 162438.73899999994, 1.6234972577870586%, 3
('aten::empty_like', 'aten::empty', 'aten::zero_', 'aten::fill_', 'aten::resize_as_'), 148273.35700000043, 1.4819210612831852%, 9
('aten::empty', 'aten::zero_', 'aten::fill_', 'aten::resize_as_', 'aten::resize_'), 148167.80099999963, 1.4808660797092132%, 9
('aten::empty', 'aten::as_strided_', 'aten::relu_', 'aten::threshold_', 'aten::cat'), 141979.65399999887, 1.4190185195327922%, 24
('aten::empty', 'aten::resize_', 'aten::resize_', 'aten::conv2d', 'aten::convolution'), 108492.55800000086, 1.0843310622061948%, 9
('aten::zero_', 'aten::zero_', 'aten::fill_', 'aten::zero_', 'aten::conv2d'), 97963.20500000031, 0.9790952309813978%, 2
('aten::empty', 'aten::empty', 'aten::resize_', 'aten::resize_', 'aten::conv2d'), 54419.89900000027, 0.5439007796997806%, 9
('aten::resize_', 'aten::dropout', 'aten::empty_like', 'aten::empty', 'aten::bernoulli_'), 40272.34100000013, 0.4025027255239008%, 3
('aten::dropout', 'aten::empty_like', 'aten::empty', 'aten::bernoulli_', 'aten::empty'), 40230.166000000434, 0.4020812066345756%, 3
('aten::cat', 'aten::_cat', 'aten::empty', 'aten::resize_', 'aten::dropout'), 34485.38599999889, 0.34466488689453834%, 3
('aten::_cat', 'aten::empty', 'aten::resize_', 'aten::dropout', 'aten::empty_like'), 30228.816999999457, 0.3021225220521193%, 3
('aten::empty', 'aten::resize_', 'aten::dropout', 'aten::empty_like', 'aten::empty'), 25990.687999999733, 0.2597644561621387%, 3
('aten::relu_', 'aten::threshold_', 'aten::adaptive_avg_pool2d', 'aten::mean', 'aten::sum'), 25817.313000001246, 0.25803165622291746%, 3
('aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty'), 21723.268000003416, 0.21711364078108802%, 159
('aten::as_strided_', 'aten::relu_', 'aten::threshold_', 'aten::adaptive_avg_pool2d', 'aten::mean'), 21296.908000000636, 0.21285237714966693%, 3
('aten::threshold_', 'aten::adaptive_avg_pool2d', 'aten::mean', 'aten::sum', 'aten::empty'), 19969.956000000937, 0.1995901285845967%, 3
('aten::addcmul_', 'aten::addcmul', 'aten::sqrt', 'aten::empty', 'aten::div'), 18647.890000003623, 0.1863767132452352%, 156
('aten::addcmul', 'aten::sqrt', 'aten::empty', 'aten::div', 'aten::to'), 17134.34300000849, 0.17124953718396374%, 156
('aten::empty_like', 'aten::empty', 'aten::bernoulli_', 'aten::empty', 'aten::div_'), 16881.77500000049, 0.16872524120664914%, 3
('aten::empty', 'aten::bernoulli_', 'aten::empty', 'aten::div_', 'aten::to'), 16871.850000000093, 0.1686260455936853%, 3
('aten::bernoulli_', 'aten::empty', 'aten::div_', 'aten::to', 'aten::empty_strided'), 16833.47300000023, 0.16824248589206836%, 3
('aten::empty', 'aten::as_strided_', 'aten::relu_', 'aten::threshold_', 'aten::adaptive_avg_pool2d'), 16616.940999999875, 0.16607835244466623%, 3
('aten::expand', 'aten::as_strided', 'aten::to', 'aten::div', 'aten::to'), 15489.737000001012, 0.1548124893000086%, 3
('aten::sqrt', 'aten::empty', 'aten::div', 'aten::to', 'aten::empty_strided'), 15483.276000007987, 0.15474791470508248%, 156
('aten::to', 'aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 15470.307000000379, 0.15461829577256544%, 3
('aten::as_strided', 'aten::to', 'aten::div', 'aten::to', 'aten::empty_strided'), 15459.00200000091, 0.15450530772173834%, 3
('aten::copy_', 'aten::addcmul_', 'aten::addcmul', 'aten::sqrt', 'aten::empty'), 14263.813000000315, 0.1425599671214384%, 156
('aten::adaptive_avg_pool2d', 'aten::mean', 'aten::sum', 'aten::empty', 'aten::fill_'), 14182.546000001137, 0.14174774244855884%, 3
('aten::empty', 'aten::as_strided_', 'aten::empty', 'aten::as_strided_', 'aten::add'), 13586.586999998195, 0.13579141818616539%, 24
('aten::empty_strided', 'aten::copy_', 'aten::addcmul_', 'aten::addcmul', 'aten::sqrt'), 13534.931000001961, 0.13527514125088255%, 156
('aten::copy_', 'aten::addcdiv_', 'aten::addcdiv', 'aten::mul_', 'aten::to'), 12110.433999998728, 0.12103797721311478%, 153
('aten::addcdiv_', 'aten::addcdiv', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 11995.848999995738, 0.1198927551162578%, 153
('aten::div_', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::mul'), 11459.75599999982, 0.11453476280007631%, 3
('aten::empty_strided', 'aten::copy_', 'aten::addcdiv_', 'aten::addcdiv', 'aten::mul_'), 11358.52500000014, 0.11352300752596942%, 153
('aten::mean', 'aten::sum', 'aten::empty', 'aten::fill_', 'aten::div_'), 9562.707000001566, 0.09557466825400349%, 3
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::mul', 'aten::empty'), 9067.738999999478, 0.09062770058088127%, 3
('aten::addcdiv', 'aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 8843.990999994567, 0.08839144667568867%, 153
('aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::add_'), 8612.407999995863, 0.08607688570481092%, 156
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcdiv_', 'aten::addcdiv'), 7329.8580000035, 0.0732584138256221%, 155
('aten::add_', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcdiv_'), 6913.956000001635, 0.06910167288643529%, 156
('aten::empty', 'aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 6834.093000004301, 0.06830348051993138%, 156
('aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcmul_'), 6517.196999997599, 0.06513625704736695%, 156
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::add_', 'aten::mul_'), 6419.871000000741, 0.06416353037465938%, 156
('aten::empty_strided', 'aten::copy_', 'aten::add_', 'aten::mul_', 'aten::to'), 6372.047000002116, 0.06368555244074932%, 156
('aten::copy_', 'aten::add_', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 6361.249000003329, 0.06357763161166916%, 156
('aten::add_', 'aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 6334.285000000615, 0.06330813936903745%, 156
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcmul_', 'aten::addcmul'), 5467.322999997297, 0.054643270149565305%, 156
('aten::sum', 'aten::empty', 'aten::fill_', 'aten::div_', 'aten::to'), 4877.891000001109, 0.04875218012056826%, 3
