kList(3),            Time(us),                Time%,   Calls (Top 249, sorted by time)
-------------------------------------------------------------
('aten::view', 'aten::mm', 'aten::add'), 5617.541000000227, 0.35386024543201466%, 69
('aten::add', 'aten::conv2d', 'aten::convolution'), 5496.1530000001985, 0.34621377031549844%, 18
('aten::reshape', 'aten::view', 'aten::addmm_'), 5475.892000000094, 0.3449374890328634%, 72
('aten::as_strided', 'aten::conv2d', 'aten::convolution'), 5334.555999999806, 0.336034449135428%, 15
('aten::view', 'aten::view', 'aten::mm'), 5233.072999999907, 0.32964183014303616%, 69
('aten::mul', 'aten::empty', 'aten::div'), 5198.969000000374, 0.3274935503512113%, 57
('aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 5134.884000000689, 0.3234567068589434%, 254
('aten::zero_', 'aten::fill_', 'aten::resize_'), 5063.268000000127, 0.3189454704768579%, 24
('aten::zero_', 'aten::fill_', 'aten::zero_'), 4709.0569999999425, 0.2966330046853702%, 22
('aten::addmm_', 'aten::zero_', 'aten::resize_'), 4651.476999999912, 0.2930059242720745%, 51
('aten::add', 'aten::to', 'aten::empty_strided'), 4473.464999999296, 0.28179258911171534%, 84
('aten::new_empty_strided', 'aten::empty_strided', 'aten::copy_'), 4354.7520000002405, 0.27431461764419335%, 127
('aten::adaptive_avg_pool2d', 'aten::mean', 'aten::sum'), 4015.13099999947, 0.25292120539955926%, 30
('aten::transpose', 'aten::as_strided', 'aten::addmm_'), 4009.5080000000016, 0.2525670012807329%, 72
('aten::zero_', 'aten::zeros_like', 'aten::empty_like'), 3951.006000000547, 0.2488818422266076%, 231
('aten::zero_', 'aten::zero_', 'aten::fill_'), 3894.8989999999176, 0.2453475490562194%, 14
('aten::conj', 'aten::div', 'aten::to'), 3584.221999999383, 0.2257773777890641%, 84
('aten::empty_strided', 'aten::zero_', 'aten::zeros_like'), 3531.2670000005455, 0.22244163546044732%, 231
('aten::empty', 'aten::conj', 'aten::mul'), 3469.099999999584, 0.21852561065918438%, 84
('aten::clamp_', 'aten::clamp', 'aten::mul'), 3353.231000000428, 0.21122678849168053%, 57
