kList(2),            Time(us),                Time%,   Calls (Top 174, sorted by calls)
-------------------------------------------------------------
('aten::select', 'aten::as_strided'), 312027.39999999234, 19.65523568862359%, 109872
('aten::as_strided', 'aten::select'), 310365.3299999943, 19.550538544779965%, 109413
('aten::empty_strided', 'aten::copy_'), 8615.985000002389, 0.5427382847297917%, 1978
('aten::to', 'aten::empty_strided'), 12090.966000000963, 0.7616343514484919%, 1851
('aten::mul_', 'aten::to'), 16679.957000001188, 1.0507041564655484%, 762
('aten::copy_', 'aten::empty'), 1949.9219999977145, 0.122829522293197%, 588
('aten::div', 'aten::to'), 24055.44999999899, 1.5153013464391014%, 585
('aten::empty', 'aten::div'), 15696.349999999633, 0.9887447663286213%, 438
('aten::transpose', 'aten::as_strided'), 1536.982999999248, 0.09681766125152379%, 429
('aten::empty_like', 'aten::empty'), 2276.1659999992316, 0.14338029030917668%, 426
('aten::copy_', 'aten::add_'), 6374.593000001478, 0.40154847886461964%, 381
('aten::add_', 'aten::mul_'), 12000.045000000711, 0.7559070541532853%, 381
('aten::copy_', 'aten::addcmul_'), 7078.787000000069, 0.4459070801941416%, 381
('aten::addcmul_', 'aten::addcmul'), 11520.543000000122, 0.7257022553978613%, 381
('aten::addcmul', 'aten::sqrt'), 30541.57699999973, 1.9238755770719325%, 381
('aten::sqrt', 'aten::empty'), 25940.41299999901, 1.634038970216168%, 381
('aten::empty', 'aten::add_'), 5268.397999998793, 0.3318670231891557%, 381
('aten::add_', 'aten::to'), 6848.28699999844, 0.43138741997757124%, 381
('aten::copy_', 'aten::addcdiv_'), 8533.823000001576, 0.5375627345227756%, 381
('aten::addcdiv_', 'aten::addcdiv'), 14594.524000000441, 0.919338522781298%, 380
('aten::addcdiv', 'aten::mul_'), 13207.784000001004, 0.8319849713341126%, 378
('aten::empty', 'aten::empty'), 756.3810000016601, 0.04764596578835639%, 363
('aten::empty', 'aten::select'), 1489.3329999988887, 0.09381609157985392%, 315
('aten::t', 'aten::transpose'), 2578.769999999906, 0.16244192701266377%, 285
('aten::mul', 'aten::empty'), 9936.111999999825, 0.6258957488623194%, 258
('aten::empty_like', 'aten::empty_strided'), 1132.727000000421, 0.07135275990466335%, 257
('aten::zeros_like', 'aten::empty_like'), 6149.493000000322, 0.3873689755468598%, 257
