kList(4),            Time(us),                Time%,   Calls (Top 294, sorted by calls)
-------------------------------------------------------------
('aten::empty_strided', 'aten::copy_', 'aten::hardtanh_', 'aten::clamp_'), 2374.6259999994636, 0.14958248443029068%, 84
('aten::copy_', 'aten::hardtanh_', 'aten::clamp_', 'aten::clamp'), 2788.1649999998303, 0.17563214068305924%, 84
('aten::conj', 'aten::div', 'aten::to', 'aten::empty_strided'), 3693.3129999995435, 0.2326492400566433%, 84
('aten::conj', 'aten::mul', 'aten::empty', 'aten::conj'), 3075.4290000000474, 0.19372747982590752%, 84
('aten::mul', 'aten::empty', 'aten::conj', 'aten::mul'), 6297.460999999617, 0.39668977850954984%, 84
('aten::empty', 'aten::conj', 'aten::mul', 'aten::empty'), 3582.709999999759, 0.22568213385742922%, 84
('aten::empty', 'aten::empty', 'aten::empty', 'aten::view'), 285.77200000068933, 0.018001355051585302%, 75
('aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::_convolution_nogroup'), 46209.10499999924, 2.910804787449314%, 72
('aten::convolution', 'aten::_convolution', 'aten::_convolution_nogroup', 'aten::_nnpack_available'), 34178.91299999907, 2.152998712920593%, 72
('aten::_convolution', 'aten::_convolution_nogroup', 'aten::_nnpack_available', 'aten::thnn_conv2d'), 32912.05999999902, 2.073197085570426%, 72
('aten::_convolution_nogroup', 'aten::_nnpack_available', 'aten::thnn_conv2d', 'aten::thnn_conv2d_forward'), 31684.30299999947, 1.995858194167462%, 72
('aten::_nnpack_available', 'aten::thnn_conv2d', 'aten::thnn_conv2d_forward', 'aten::empty'), 20825.827000000187, 1.3118608753446475%, 72
('aten::thnn_conv2d', 'aten::thnn_conv2d_forward', 'aten::empty', 'aten::empty'), 20826.233000000742, 1.3118864501041094%, 72
('aten::thnn_conv2d_forward', 'aten::empty', 'aten::empty', 'aten::empty'), 10373.696000000902, 0.6534600481949806%, 72
('aten::empty', 'aten::empty', 'aten::view', 'aten::view'), 271.5230000001202, 0.017103781782896746%, 72
('aten::empty', 'aten::view', 'aten::view', 'aten::detach'), 284.77300000012747, 0.017938426025275497%, 72
('aten::view', 'aten::view', 'aten::detach', 'aten::resize_'), 489.33500000033837, 0.030824199271280377%, 72
('aten::view', 'aten::detach', 'aten::resize_', 'aten::select'), 608.9150000003119, 0.03835678481871995%, 72
('aten::detach', 'aten::resize_', 'aten::select', 'aten::as_strided'), 604.2480000007881, 0.038062801069377906%, 72
('aten::resize_', 'aten::select', 'aten::as_strided', 'aten::unsqueeze'), 753.4370000006229, 0.04746051728643734%, 72
('aten::select', 'aten::as_strided', 'aten::unsqueeze', 'aten::as_strided'), 552.5780000006553, 0.034808003484185654%, 72
('aten::as_strided', 'aten::unsqueeze', 'aten::as_strided', 'aten::select'), 479.15800000047693, 0.030183129501124284%, 72
('aten::unsqueeze', 'aten::as_strided', 'aten::select', 'aten::as_strided'), 460.775000000398, 0.029025147228844583%, 72
('aten::as_strided', 'aten::reshape', 'aten::view', 'aten::view'), 350.2249999999203, 0.022061379606556346%, 72
('aten::reshape', 'aten::view', 'aten::view', 'aten::view'), 358.46299999994426, 0.02258030785325313%, 72
('aten::empty', 'aten::empty', 'aten::view', 'aten::resize_as_'), 531.5480000000825, 0.033483281339454066%, 72
('aten::empty', 'aten::view', 'aten::resize_as_', 'aten::resize_'), 628.7880000001751, 0.03960862519824219%, 72
('aten::view', 'aten::resize_as_', 'aten::resize_', 'aten::resize_as_'), 780.4609999999084, 0.0491628135887343%, 72
('aten::resize_as_', 'aten::resize_', 'aten::resize_as_', 'aten::resize_'), 734.4929999996384, 0.046267196491838386%, 72
('aten::resize_', 'aten::resize_as_', 'aten::resize_', 'aten::zero_'), 1532.0459999998566, 0.09650666965725105%, 72
('aten::transpose', 'aten::as_strided', 'aten::select', 'aten::as_strided'), 536.8820000003179, 0.03381928076504217%, 72
('aten::as_strided', 'aten::reshape', 'aten::view', 'aten::addmm_'), 5515.324000000008, 0.3474213902981758%, 72
('aten::reshape', 'aten::view', 'aten::addmm_', 'aten::zero_'), 6675.913000000059, 0.42052923381648705%, 72
('aten::view', 'aten::select', 'aten::as_strided', 'aten::select'), 471.0439999989758, 0.029672012264602744%, 72
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::view'), 281.45199999882607, 0.01772922953244346%, 72
('aten::select', 'aten::as_strided', 'aten::view', 'aten::transpose'), 412.83399999907124, 0.0260052468797906%, 72
('aten::as_strided', 'aten::view', 'aten::transpose', 'aten::as_strided'), 296.93199999947683, 0.01870434597565547%, 72
('aten::view', 'aten::transpose', 'aten::as_strided', 'aten::addmm_'), 4057.0069999998523, 0.2555590591576085%, 72
