kList(5),            Time(us),                Time%,   Calls (Top 327, sorted by calls)
-------------------------------------------------------------
('aten::select', 'aten::as_strided', 'aten::empty_like', 'aten::empty', 'aten::select'), 1371.2319999998595, 0.08637667122752873%, 105
('aten::as_strided', 'aten::empty_like', 'aten::empty', 'aten::select', 'aten::as_strided'), 1227.701999999696, 0.07733542684196701%, 105
('aten::native_batch_norm_backward', 'aten::empty_like', 'aten::empty', 'aten::empty_like', 'aten::empty'), 243340.934, 15.328536565891056%, 105
('aten::empty_like', 'aten::empty', 'aten::empty_like', 'aten::empty', 'aten::empty_like'), 1313.722999999809, 0.0827540632475306%, 105
('aten::empty', 'aten::empty_like', 'aten::empty', 'aten::empty_like', 'aten::empty'), 910.7480000002106, 0.05736985467605452%, 105
('aten::empty_like', 'aten::empty', 'aten::empty_like', 'aten::empty', 'aten::select'), 1132.341999999233, 0.07132850797754582%, 105
('aten::empty', 'aten::empty_like', 'aten::empty', 'aten::select', 'aten::as_strided'), 939.6499999991065, 0.05919044998868063%, 105
('aten::add', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::hardtanh_'), 6037.131999999137, 0.38029112937939896%, 84
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::hardtanh_', 'aten::clamp_'), 3086.359999999312, 0.1944160455778187%, 84
('aten::empty_strided', 'aten::copy_', 'aten::hardtanh_', 'aten::clamp_', 'aten::clamp'), 2895.0909999993924, 0.18236762523099703%, 84
('aten::conj', 'aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 3931.7589999991033, 0.24766943485043705%, 84
('aten::conj', 'aten::mul', 'aten::empty', 'aten::conj', 'aten::mul'), 6367.287999999753, 0.4010883221708828%, 84
('aten::mul', 'aten::empty', 'aten::conj', 'aten::mul', 'aten::empty'), 6411.070999999793, 0.4038463017077947%, 84
('aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::_convolution_nogroup', 'aten::_nnpack_available'), 46250.64799999906, 2.9134216648652367%, 72
('aten::convolution', 'aten::_convolution', 'aten::_convolution_nogroup', 'aten::_nnpack_available', 'aten::thnn_conv2d'), 44674.74499999891, 2.814152354261704%, 72
('aten::_convolution', 'aten::_convolution_nogroup', 'aten::_nnpack_available', 'aten::thnn_conv2d', 'aten::thnn_conv2d_forward'), 43140.9019999992, 2.71753248794759%, 72
('aten::_convolution_nogroup', 'aten::_nnpack_available', 'aten::thnn_conv2d', 'aten::thnn_conv2d_forward', 'aten::empty'), 31743.91299999982, 1.9996131483779118%, 72
('aten::_nnpack_available', 'aten::thnn_conv2d', 'aten::thnn_conv2d_forward', 'aten::empty', 'aten::empty'), 20867.776000000566, 1.3145033275200317%, 72
('aten::thnn_conv2d', 'aten::thnn_conv2d_forward', 'aten::empty', 'aten::empty', 'aten::empty'), 20869.52800000074, 1.3146136895360916%, 72
('aten::thnn_conv2d_forward', 'aten::empty', 'aten::empty', 'aten::empty', 'aten::view'), 10503.124000001018, 0.6616129791385758%, 72
('aten::empty', 'aten::empty', 'aten::empty', 'aten::view', 'aten::view'), 331.1330000004691, 0.020858735993346658%, 72
('aten::empty', 'aten::empty', 'aten::view', 'aten::view', 'aten::detach'), 326.72200000050634, 0.020580878200659895%, 72
('aten::empty', 'aten::view', 'aten::view', 'aten::detach', 'aten::resize_'), 532.6300000003366, 0.03355143870326278%, 72
('aten::view', 'aten::view', 'aten::detach', 'aten::resize_', 'aten::select'), 738.34300000043, 0.046509715762315156%, 72
('aten::view', 'aten::detach', 'aten::resize_', 'aten::select', 'aten::as_strided'), 661.0990000004131, 0.04164396030131265%, 72
('aten::detach', 'aten::resize_', 'aten::select', 'aten::as_strided', 'aten::unsqueeze'), 808.636000001009, 0.05093761370420049%, 72
('aten::resize_', 'aten::select', 'aten::as_strided', 'aten::unsqueeze', 'aten::as_strided'), 800.4350000008644, 0.05042101616217293%, 72
('aten::select', 'aten::as_strided', 'aten::unsqueeze', 'aten::as_strided', 'aten::select'), 728.1660000005686, 0.045868645992159056%, 72
('aten::as_strided', 'aten::unsqueeze', 'aten::as_strided', 'aten::select', 'aten::as_strided'), 512.9590000004991, 0.03231232271143729%, 72
('aten::unsqueeze', 'aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::select'), 627.6290000003337, 0.03953561744905094%, 72
('aten::select', 'aten::as_strided', 'aten::reshape', 'aten::view', 'aten::view'), 517.078999999856, 0.03257184982676271%, 72
('aten::as_strided', 'aten::reshape', 'aten::view', 'aten::view', 'aten::view'), 398.5050000001147, 0.025102634249740213%, 72
('aten::empty', 'aten::empty', 'aten::view', 'aten::resize_as_', 'aten::resize_'), 686.3749999999272, 0.04323614655564838%, 72
('aten::empty', 'aten::view', 'aten::resize_as_', 'aten::resize_', 'aten::resize_as_'), 813.4440000004251, 0.05124047932811501%, 72
('aten::view', 'aten::resize_as_', 'aten::resize_', 'aten::resize_as_', 'aten::resize_'), 849.0999999998021, 0.053486522732320324%, 72
('aten::resize_as_', 'aten::resize_', 'aten::resize_as_', 'aten::resize_', 'aten::zero_'), 1858.4169999995065, 0.11706543765943626%, 72
('aten::transpose', 'aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::select'), 695.3750000006548, 0.043803074720328516%, 72
('aten::select', 'aten::as_strided', 'aten::reshape', 'aten::view', 'aten::addmm_'), 5689.619000000064, 0.3584005841265058%, 72
('aten::as_strided', 'aten::reshape', 'aten::view', 'aten::addmm_', 'aten::zero_'), 6715.344999999972, 0.42301313508179944%, 72
('aten::view', 'aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided'), 506.3819999987609, 0.031898024207016686%, 72
('aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::view'), 475.5539999985049, 0.029956106267073162%, 72
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::view', 'aten::transpose'), 453.11199999882956, 0.028542439392568807%, 72
('aten::select', 'aten::as_strided', 'aten::view', 'aten::transpose', 'aten::as_strided'), 455.26899999890884, 0.028678313176031162%, 72
('aten::as_strided', 'aten::view', 'aten::transpose', 'aten::as_strided', 'aten::addmm_'), 4092.3449999996374, 0.25778507110002247%, 72
('aten::reshape', 'aten::view', 'aten::view', 'aten::view', 'aten::mm'), 5485.089999999836, 0.3455168896171035%, 69
('aten::view', 'aten::view', 'aten::view', 'aten::mm', 'aten::add'), 5723.094000000081, 0.360509241938855%, 69
('aten::view', 'aten::view', 'aten::mm', 'aten::add', 'aten::batch_norm'), 118724.97399999984, 7.478725734008494%, 69
('aten::view', 'aten::mm', 'aten::add', 'aten::batch_norm', 'aten::_batch_norm_impl_index'), 231515.10400000008, 14.583603666204684%, 69
('aten::mm', 'aten::add', 'aten::batch_norm', 'aten::_batch_norm_impl_index', 'aten::empty'), 231514.95699999994, 14.583594406377983%, 69
('aten::thnn_conv2d_backward', 'aten::empty', 'aten::empty', 'aten::view', 'aten::resize_as_'), 17334.827000000165, 1.0919557394848254%, 69
('aten::as_strided', 'aten::conj', 'aten::mm', 'aten::empty', 'aten::t'), 6352.665000000867, 0.40016718988745886%, 60
('aten::conj', 'aten::mm', 'aten::empty', 'aten::t', 'aten::transpose'), 6470.006000000634, 0.4075587363059281%, 60
('aten::mm', 'aten::empty', 'aten::t', 'aten::transpose', 'aten::as_strided'), 6461.595000000729, 0.4070289104400741%, 60
