kList(4),            Time(us),                Time%,   Calls (Top 161, sorted by calls)
-------------------------------------------------------------
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_'), 32194286.201000065, 24.455216323450657%, 156
('aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights'), 21192450.852000087, 16.09807301749275%, 156
('aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty'), 10196120.832000077, 7.745111634090461%, 156
('aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::empty'), 10193832.32200005, 7.743373250864331%, 156
('aten::relu_', 'aten::threshold_', 'aten::conv2d', 'aten::convolution'), 20132000.340999987, 15.292540430594903%, 141
('aten::threshold_', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 29410755.99399996, 22.340809036081374%, 141
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::relu_'), 242331.2450000269, 0.18407809949278167%, 99
('aten::select', 'aten::as_strided', 'aten::relu_', 'aten::threshold_'), 482218.7700000432, 0.3662999161389399%, 99
('aten::as_strided', 'aten::relu_', 'aten::threshold_', 'aten::conv2d'), 6105986.294000031, 4.638189980530057%, 96
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::fill_'), 113637.80800001323, 0.08632081978188877%, 88
('aten::empty_strided', 'aten::zero_', 'aten::fill_', 'aten::zeros_like'), 143016.4210000001, 0.1086372125638881%, 88
('aten::zero_', 'aten::fill_', 'aten::zeros_like', 'aten::empty_like'), 143110.57499999925, 0.10870873321892986%, 88
('aten::fill_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 87561.98400001228, 0.06651327030708659%, 88
('aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::fill_'), 45953.09100000933, 0.03490659100562797%, 88
('aten::zero_', 'aten::zero_', 'aten::fill_', 'aten::zero_'), 45948.742000032216, 0.03490328744627688%, 88
('aten::zero_', 'aten::fill_', 'aten::zero_', 'aten::zero_'), 42514.05600001663, 0.03229425338945411%, 86
('aten::fill_', 'aten::zero_', 'aten::zero_', 'aten::zero_'), 43675.62600000948, 0.033176597711278934%, 86
('aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::zero_'), 1544.6869999170303, 0.0011733651896844832%, 56
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::add_'), 315212.45600002375, 0.2394396555711584%, 48
('aten::select', 'aten::as_strided', 'aten::add_', 'aten::relu_'), 497245.5400000062, 0.3777144543802139%, 48
