kList(2),            Time(us),                Time%,   Calls (Top 116, sorted by time)
-------------------------------------------------------------
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_input'), 32189178.193000007, 24.451336211313883%, 156
('aten::conv2d', 'aten::convolution'), 22750339.155000012, 17.281466095996638%, 159
('aten::convolution', 'aten::_convolution'), 22747624.628999975, 17.27940410524051%, 159
('aten::_convolution', 'aten::mkldnn_convolution'), 22743847.336999953, 17.276534823020658%, 159
('aten::batch_norm', 'aten::_batch_norm_impl_index'), 15385673.712000057, 11.68716636734445%, 159
('aten::mkldnn_convolution', 'aten::empty'), 11375809.043999946, 8.641218795422255%, 159
('aten::mkldnn_convolution_backward_input', 'aten::empty'), 11002213.826000063, 8.357430802218975%, 156
('aten::mkldnn_convolution_backward_weights', 'aten::empty'), 10489903.152000025, 7.968272667782854%, 159
('aten::as_strided_', 'aten::mkldnn_convolution_backward_weights'), 10190237.026000025, 7.740642215273776%, 156
('aten::native_batch_norm_backward', 'aten::empty_like'), 10179001.218000013, 7.732107343169653%, 159
('aten::threshold_', 'aten::conv2d'), 10065161.10799998, 7.6456328520455195%, 141
('aten::add', 'aten::batch_norm'), 7696659.424000008, 5.846486858155546%, 159
('aten::_batch_norm_impl_index', 'aten::empty'), 7692445.333000057, 5.843285777492752%, 159
('aten::native_batch_norm', 'aten::empty'), 7691082.429999974, 5.842250497894166%, 159
('aten::empty', 'aten::native_batch_norm'), 7690359.157000041, 5.841701089916494%, 159
('aten::select', 'aten::as_strided'), 2845275.0030020257, 2.161309471615488%, 614016
('aten::as_strided', 'aten::select'), 2841996.0480020517, 2.1588187329378674%, 613539
('aten::threshold_backward', 'aten::empty'), 2221472.141999943, 1.6874603602002003%, 147
('aten::as_strided', 'aten::conv2d'), 1184746.807999983, 0.8999497394434307%, 12
('aten::max_pool2d', 'aten::max_pool2d_with_indices'), 1177629.3050000053, 0.8945431876577956%, 3
('aten::as_strided_', 'aten::add'), 983915.8499999696, 0.7473958206619173%, 207
('aten::relu_', 'aten::threshold_'), 844963.2899999737, 0.6418455720158829%, 147
('aten::threshold_', 'aten::max_pool2d'), 617067.4320000086, 0.4687327882190358%, 3
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_weights'), 597783.7990000062, 0.4540846791237504%, 3
('aten::max_pool2d_with_indices', 'aten::empty'), 588806.1139999939, 0.44726510786851686%, 3
('aten::add_', 'aten::relu_'), 497103.40499998047, 0.37760648670697333%, 48
('aten::zero_', 'aten::fill_'), 432968.10700003617, 0.3288884447300436%, 182
('aten::as_strided', 'aten::add_'), 315065.11999999674, 0.23932773714779604%, 48
('aten::max_pool2d_with_indices_backward', 'aten::zeros_like'), 302604.84699999914, 0.22986274482705538%, 3
