kList(5),            Time(us),                Time%,   Calls (Top 170, sorted by time)
-------------------------------------------------------------
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::relu_', 'aten::threshold_'), 482273.95900001866, 0.3663418384516338%, 99
('aten::empty', 'aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution'), 442591.04799999995, 0.3361981611919233%, 1
('aten::resize_', 'aten::resize_', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 435828.20300000045, 0.33106101243191083%, 3
('aten::max_pool2d_with_indices_backward', 'aten::zeros_like', 'aten::empty_like', 'aten::empty', 'aten::zero_'), 409241.04999999516, 0.31086505051555025%, 3
('aten::zeros_like', 'aten::empty_like', 'aten::empty', 'aten::zero_', 'aten::fill_'), 319677.0739999898, 0.24283103994008248%, 3
('aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::add_'), 315344.43900000665, 0.23953991164751454%, 48
('aten::empty', 'aten::resize_', 'aten::resize_', 'aten::conv2d', 'aten::convolution'), 290627.8179999977, 0.22076483120105989%, 3
('aten::addcmul_', 'aten::addcmul', 'aten::sqrt', 'aten::empty', 'aten::div'), 279640.94100005925, 0.21241905045987067%, 483
('aten::zero_', 'aten::zero_', 'aten::fill_', 'aten::zero_', 'aten::conv2d'), 264008.1270000078, 0.20054415297872538%, 2
('aten::zero_', 'aten::fill_', 'aten::resize_as_', 'aten::resize_', 'aten::zero_'), 244293.5940000005, 0.1855687264008251%, 3
('aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::relu_'), 242599.9960000376, 0.18428224639640836%, 99
('aten::addcmul', 'aten::sqrt', 'aten::empty', 'aten::div', 'aten::to'), 233682.52900005504, 0.1775084175504987%, 483
('aten::empty_like', 'aten::empty', 'aten::zero_', 'aten::fill_', 'aten::resize_as_'), 213115.19399998337, 0.16188519101013182%, 3
('aten::empty', 'aten::zero_', 'aten::fill_', 'aten::resize_as_', 'aten::resize_'), 213029.46199999005, 0.16182006782048913%, 3
('aten::sqrt', 'aten::empty', 'aten::div', 'aten::to', 'aten::empty_strided'), 187560.78400013968, 0.1424737146797476%, 483
('aten::copy_', 'aten::addcmul_', 'aten::addcmul', 'aten::sqrt', 'aten::empty'), 183752.0770000331, 0.13958056919987194%, 483
('aten::empty_strided', 'aten::copy_', 'aten::addcmul_', 'aten::addcmul', 'aten::sqrt'), 183234.58499988914, 0.13918747525984282%, 483
('aten::copy_', 'aten::addcdiv_', 'aten::addcdiv', 'aten::mul_', 'aten::to'), 179655.24299998954, 0.13646855854410467%, 480
('aten::addcdiv_', 'aten::addcdiv', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 178771.46300004423, 0.13579722727289512%, 480
('aten::empty_strided', 'aten::copy_', 'aten::addcdiv_', 'aten::addcdiv', 'aten::mul_'), 176956.50900008157, 0.13441856360540183%, 480
('aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::fill_'), 171087.21000001207, 0.12996016450260534%, 88
('aten::fill_', 'aten::resize_as_', 'aten::resize_', 'aten::zero_', 'aten::fill_'), 169134.8199999947, 0.12847710258596365%, 3
('aten::empty', 'aten::empty', 'aten::resize_', 'aten::resize_', 'aten::conv2d'), 145406.19199999474, 0.11045251501860018%, 3
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::fill_', 'aten::zeros_like'), 143991.44700000808, 0.10937785553395785%, 88
('aten::empty_strided', 'aten::zero_', 'aten::fill_', 'aten::zeros_like', 'aten::empty_like'), 143839.00800000876, 0.10926206080262449%, 88
('aten::zero_', 'aten::fill_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 143638.73299999163, 0.10910992919706507%, 88
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcdiv_', 'aten::addcdiv'), 136222.57799997926, 0.1034765173027548%, 482
('aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty'), 116899.08799998462, 0.0887981322898507%, 486
('aten::fill_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 116765.5160000138, 0.08869666918755832%, 88
('aten::addcdiv', 'aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 113095.96200014278, 0.0859092262134494%, 480
('aten::copy_', 'aten::add_', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 104149.88099996, 0.07911366178500788%, 483
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::add_', 'aten::mul_'), 103804.54600000009, 0.07885134063661055%, 483
('aten::empty_strided', 'aten::copy_', 'aten::add_', 'aten::mul_', 'aten::to'), 103724.81700008363, 0.07879077740722146%, 483
('aten::add_', 'aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 103642.12599987537, 0.07872796420224869%, 483
('aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::add_'), 103181.8410000503, 0.07837832547533659%, 483
('aten::empty', 'aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 102046.85900007561, 0.0775161777588346%, 483
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcmul_', 'aten::addcmul'), 99787.89999983087, 0.07580024187282403%, 483
('aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcmul_'), 97662.7909998782, 0.07418598026191929%, 483
