kList(4),            Time(us),                Time%,   Calls (Top 122, sorted by time)
-------------------------------------------------------------
('aten::select', 'aten::as_strided', 'aten::sub_', 'aten::cumsum'), 28.912999999999954, 0.07371470860203194%, 1
('aten::nll_loss_forward', 'aten::empty', 'aten::empty', 'aten::resize_'), 28.365000000000123, 0.07231756336238537%, 1
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::mul'), 28.297000000000025, 0.07214419497498367%, 1
('aten::as_strided', 'aten::sub_', 'aten::cumsum', 'aten::to'), 26.66300000000001, 0.0679782546071311%, 1
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::conj'), 24.899999999999977, 0.06348342421023749%, 2
('aten::empty', 'aten::fill_', 'aten::max', 'aten::maximum'), 24.411000000000058, 0.062236701542012544%, 1
('aten::fill_', 'aten::max', 'aten::maximum', 'aten::empty'), 24.39100000000002, 0.06218571083983555%, 1
('aten::sum', 'aten::empty', 'aten::fill_', 'aten::view'), 22.880999999999972, 0.058335912825479654%, 1
('aten::_cumsum', 'aten::empty_like', 'aten::empty', 'aten::resize_'), 22.706999999999994, 0.057892293716540706%, 1
('aten::empty_like', 'aten::empty', 'aten::fill_', 'aten::max'), 22.679000000000087, 0.057820906733493285%, 1
('aten::empty_strided', 'aten::copy_', 'aten::mul', 'aten::empty'), 22.11500000000001, 0.05638296893210457%, 1
('aten::transpose', 'aten::as_strided', 'aten::sum', 'aten::empty'), 21.95399999999995, 0.0559724937795804%, 1
('aten::to', 'aten::_cumsum', 'aten::empty_like', 'aten::empty'), 21.81400000000002, 0.055615558864342295%, 1
('aten::zeros', 'aten::empty', 'aten::zero_', 'aten::ones_like'), 21.08099999999996, 0.05374674962955884%, 1
('aten::copy_', 'aten::select', 'aten::as_strided', 'aten::empty_like'), 20.77000000000001, 0.052953844210708215%, 1
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::unsqueeze'), 20.458000000000084, 0.052158389256748795%, 1
('aten::arange', 'aten::resize_', 'aten::as_strided', 'aten::copy_'), 20.35200000000077, 0.051888138535212985%, 1
('aten::as_strided', 'aten::slice', 'aten::as_strided', 'aten::sub'), 19.69599999999997, 0.05021564350380871%, 1
('aten::maximum', 'aten::empty', 'aten::to', 'aten::empty_strided'), 19.639000000000067, 0.05007032000260479%, 1
