kList(3),            Time(us),                Time%,   Calls (Top 120, sorted by calls)
-------------------------------------------------------------
('aten::div_', 'aten::dropout', 'aten::empty_like'), 117.12200000000007, 0.2986066510181304%, 1
('aten::dropout', 'aten::empty_like', 'aten::empty'), 113.74000000000012, 0.2899841232800171%, 1
('aten::empty_like', 'aten::empty', 'aten::bernoulli_'), 50.264000000000124, 0.12814983271097943%, 1
('aten::empty', 'aten::bernoulli_', 'aten::empty'), 45.11900000000003, 0.11503247457597228%, 1
('aten::bernoulli_', 'aten::empty', 'aten::div_'), 66.64499999999998, 0.16991376732896707%, 1
('aten::empty', 'aten::div_', 'aten::to'), 35.104999999999905, 0.08950142999599932%, 1
('aten::div_', 'aten::to', 'aten::empty_strided'), 34.067999999999984, 0.08685756208812737%, 1
('aten::empty_strided', 'aten::copy_', 'aten::mul'), 19.763000000000034, 0.05038646235610148%, 1
('aten::copy_', 'aten::mul', 'aten::empty'), 20.730000000000018, 0.05285186280635444%, 1
('aten::mul', 'aten::empty', 'aten::t'), 32.914999999999964, 0.08391794810762918%, 1
('aten::transpose', 'aten::as_strided', 'aten::addmm'), 50.31200000000001, 0.12827221039620368%, 1
('aten::as_strided', 'aten::addmm', 'aten::empty'), 44.07800000000009, 0.11237840852766491%, 1
('aten::addmm', 'aten::empty', 'aten::expand'), 46.01800000000014, 0.11732450663882411%, 1
('aten::empty', 'aten::expand', 'aten::as_strided'), 4.500000000000227, 0.011472907989802546%, 1
('aten::expand', 'aten::as_strided', 'aten::copy_'), 7.84800000000007, 0.020008751534214806%, 1
('aten::as_strided', 'aten::copy_', 'aten::log_softmax'), 31.619000000000028, 0.08061375060656638%, 1
('aten::copy_', 'aten::log_softmax', 'aten::_log_softmax'), 51.150999999999954, 0.1304112703525244%, 1
('aten::log_softmax', 'aten::_log_softmax', 'aten::empty'), 48.00599999999997, 0.1223929824352073%, 1
('aten::_log_softmax', 'aten::empty', 'aten::nll_loss'), 54.67399999999998, 0.139393282540985%, 1
('aten::empty', 'aten::nll_loss', 'aten::nll_loss_forward'), 60.88300000000004, 0.15522334603180302%, 1
('aten::nll_loss', 'aten::nll_loss_forward', 'aten::empty'), 60.53500000000008, 0.1543361078139251%, 1
('aten::nll_loss_forward', 'aten::empty', 'aten::empty'), 27.417000000000144, 0.06990060407920048%, 1
('aten::empty', 'aten::resize_', 'aten::resize_'), 1.9239999999999782, 0.004905305549417496%, 1
('aten::resize_', 'aten::resize_', 'aten::ones_like'), 9.100999999999885, 0.023203319025596972%, 1
('aten::resize_', 'aten::ones_like', 'aten::empty_like'), 11.87399999999991, 0.030273179882423888%, 1
('aten::ones_like', 'aten::empty_like', 'aten::empty_strided'), 12.64799999999991, 0.03224652005666983%, 1
('aten::nll_loss_backward', 'aten::zeros_like', 'aten::empty_like'), 41.90599999999995, 0.10684081827125347%, 1
('aten::zeros_like', 'aten::empty_like', 'aten::empty'), 18.361999999999966, 0.04681456366860962%, 1
('aten::empty_like', 'aten::empty', 'aten::zero_'), 8.406000000000063, 0.02143139212495023%, 1
('aten::empty', 'aten::zero_', 'aten::resize_as_'), 7.389000000000124, 0.018838514919255145%, 1
('aten::zero_', 'aten::resize_as_', 'aten::resize_'), 5.318000000000097, 0.013558427708837327%, 1
('aten::resize_as_', 'aten::resize_', 'aten::zero_'), 4.9360000000000355, 0.012584505297258424%, 1
('aten::transpose', 'aten::as_strided', 'aten::sum'), 21.20799999999997, 0.05407054058838217%, 1
('aten::as_strided', 'aten::sum', 'aten::empty'), 17.245000000000005, 0.04396673295202999%, 1
('aten::sum', 'aten::empty', 'aten::fill_'), 19.062999999999988, 0.04860178777990994%, 1
('aten::empty', 'aten::fill_', 'aten::view'), 6.880999999999972, 0.01754335108396156%, 1
('aten::conj', 'aten::mul', 'aten::empty'), 12.890999999999849, 0.03286605708811898%, 1
('aten::_embedding_bag_backward', 'aten::_embedding_bag_dense_backward', 'aten::zeros'), 15680.179, 39.97716687347223%, 1
('aten::_embedding_bag_dense_backward', 'aten::zeros', 'aten::empty'), 10240.392, 26.10823893233425%, 1
('aten::empty', 'aten::zero_', 'aten::fill_'), 9520.68, 24.273307920077286%, 1
('aten::zero_', 'aten::fill_', 'aten::sort'), 9671.897, 24.65884097063148%, 1
('aten::fill_', 'aten::sort', 'aten::empty'), 4919.717000000001, 12.542991217081015%, 1
('aten::sort', 'aten::empty', 'aten::empty'), 173.47499999999945, 0.44228060300686445%, 1
('aten::empty', 'aten::resize_', 'aten::copy_'), 39.99699999999939, 0.10197375574846716%, 1
('aten::resize_', 'aten::copy_', 'aten::resize_'), 40.789999999999964, 0.10399553708978261%, 1
('aten::copy_', 'aten::resize_', 'aten::arange'), 36.01799999999912, 0.09182915555037269%, 1
('aten::resize_', 'aten::arange', 'aten::empty'), 26.729999999999563, 0.06814907345942256%, 1
('aten::arange', 'aten::empty', 'aten::arange'), 36.41399999999976, 0.0928387714534769%, 1
('aten::empty', 'aten::arange', 'aten::resize_'), 16.040000000000873, 0.040894543145874124%, 1
('aten::arange', 'aten::resize_', 'aten::as_strided'), 16.16900000000078, 0.04122343317491487%, 1
('aten::resize_', 'aten::as_strided', 'aten::copy_'), 6.499000000000706, 0.016569428672384683%, 1
('aten::as_strided', 'aten::copy_', 'aten::index_select'), 16.22399999999925, 0.04136365760589744%, 1
('aten::copy_', 'aten::index_select', 'aten::empty'), 15.458999999999833, 0.03941326324763259%, 1
('aten::index_select', 'aten::empty', 'aten::resize_'), 12.217999999999847, 0.031150219959866374%, 1
('aten::empty_strided', 'aten::copy_', 'aten::zeros'), 8559.421, 21.82254435088416%, 1
('aten::copy_', 'aten::zeros', 'aten::empty'), 8542.098, 21.778378754193643%, 1
('aten::empty', 'aten::add_', 'aten::add_'), 3564.2660000000033, 9.087221304262117%, 1
Total time: 39222.836999999985us
