kList(2),            Time(us),                Time%,   Calls (Top 99, sorted by time)
-------------------------------------------------------------
('aten::_embedding_bag_backward', 'aten::_embedding_bag_dense_backward'), 10898.252, 27.78547609903895%, 1
('aten::_embedding_bag_dense_backward', 'aten::zeros'), 10223.151, 26.06428239752266%, 1
('aten::zero_', 'aten::fill_'), 9503.439, 24.22935138526569%, 1
('aten::empty_strided', 'aten::copy_'), 8570.297, 21.850273094727964%, 5
('aten::copy_', 'aten::zeros'), 8539.415, 21.771538351496613%, 1
('aten::fill_', 'aten::sort'), 4918.076000000001, 12.538807429967399%, 1
('aten::zeros', 'aten::empty'), 4849.599999999999, 12.364225463854135%, 5
('aten::empty', 'aten::zero_'), 4788.341999999998, 12.208046042156512%, 6
('aten::add_', 'aten::add_'), 3563.3700000000026, 9.08493692080459%, 1
('aten::empty', 'aten::add_'), 3556.081000000002, 9.066353359396219%, 1
('aten::embedding_bag', 'aten::_embedding_bag'), 718.56, 1.8319939478115776%, 1
('aten::_embedding_bag', 'aten::zeros'), 363.874, 0.9277095381958225%, 1
('aten::empty', 'aten::embedding_bag'), 363.75, 0.9273933958423255%, 1
('aten::sort', 'aten::empty'), 170.09900000000016, 0.43367337247940585%, 1
('aten::dropout', 'aten::empty_like'), 111.11700000000008, 0.2832966926895169%, 1
('aten::div_', 'aten::dropout'), 109.55500000000006, 0.27931431884950114%, 1
('aten::t', 'aten::transpose'), 66.77999999999997, 0.1702579545686611%, 5
('aten::nll_loss', 'aten::nll_loss_forward'), 59.905000000000086, 0.15272990069535283%, 1
('aten::new_empty_strided', 'aten::empty_strided'), 58.87699999999927, 0.15010897860345823%, 3
('aten::log_softmax', 'aten::_log_softmax'), 47.02800000000002, 0.11989953709875714%, 1
('aten::as_strided', 'aten::addmm'), 43.303, 0.11040251881830988%, 1
('aten::addmm', 'aten::empty'), 42.909000000000106, 0.10939800198542528%, 1
('aten::empty', 'aten::bernoulli_'), 42.697000000000116, 0.1088575005423502%, 1
('aten::bernoulli_', 'aten::empty'), 42.49599999999998, 0.10834504398547203%, 1
('aten::empty', 'aten::t'), 40.39300000000003, 0.10298337165157137%, 3
('aten::ones_like', 'aten::empty_like'), 38.19799999999998, 0.09738714208765673%, 3
('aten::nll_loss_backward', 'aten::zeros_like'), 36.77800000000002, 0.0937668022330971%, 1
('aten::resize_', 'aten::copy_'), 36.621000000000095, 0.09336652522100865%, 1
('aten::empty', 'aten::resize_'), 35.509000000000356, 0.0905314421799738%, 4
('aten::empty_like', 'aten::empty'), 34.91200000000006, 0.08900936971999265%, 5
('aten::empty', 'aten::nll_loss'), 34.525999999999954, 0.08802524916797824%, 1
('aten::div_', 'aten::to'), 32.68299999999999, 0.08332645596237724%, 1
('aten::mm', 'aten::empty'), 31.750000000000114, 0.08094773970582526%, 2
('aten::copy_', 'aten::log_softmax'), 31.00299999999993, 0.07904323697951768%, 1
('aten::mul', 'aten::empty'), 29.289999999999964, 0.07467588333806649%, 2
('aten::conj', 'aten::mm'), 28.19200000000012, 0.07187649378855519%, 2
('aten::nll_loss_forward', 'aten::empty'), 26.98700000000008, 0.06880430398239701%, 1
('aten::empty', 'aten::div_'), 26.570999999999913, 0.06774369737711712%, 1
('aten::resize_', 'aten::arange'), 25.532999999999447, 0.06509727993413494%, 1
('aten::sub_', 'aten::cumsum'), 25.44999999999999, 0.06488566852010219%, 1
('aten::transpose', 'aten::as_strided'), 23.879999999999995, 0.060882898399215755%, 5
('aten::to', 'aten::empty_strided'), 23.121000000000038, 0.058947801251602594%, 2
('aten::zero_', 'aten::ones_like'), 22.829999999999956, 0.05820588653492853%, 2
('aten::cumsum', 'aten::to'), 22.795999999999992, 0.058119202341227895%, 1
('aten::arange', 'aten::empty'), 22.560999999999694, 0.05752006159064858%, 1
('aten::max', 'aten::maximum'), 22.002999999999986, 0.05609742099991388%, 1
('aten::_log_softmax', 'aten::empty'), 21.125999999999976, 0.05386147870945691%, 1
('aten::as_strided', 'aten::copy_'), 20.024000000000086, 0.05105189101951012%, 4
