kList(5),            Time(us),                Time%,   Calls (Top 396, sorted by calls)
-------------------------------------------------------------
('aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::zeros_like'), 171217.09399999958, 5.965672042213646%, 251
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::zeros_like', 'aten::empty_like'), 165039.88099999935, 5.750441039093712%, 251
('aten::empty_strided', 'aten::zero_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 164832.5529999989, 5.74321716427914%, 251
('aten::zero_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 319590.5009999989, 11.135407524045178%, 251
('aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty'), 144428.28999999943, 5.032276810852329%, 246
('aten::add', 'aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 196803.00600000285, 6.857155224920616%, 198
('aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::add_'), 82158.6750000033, 2.8626330410259047%, 198
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::add_', 'aten::mul_'), 81028.74300000444, 2.8232631184059365%, 198
('aten::empty_strided', 'aten::copy_', 'aten::add_', 'aten::mul_', 'aten::to'), 80701.07000000216, 2.811846094501175%, 198
('aten::copy_', 'aten::add_', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 80493.31600000127, 2.8046073766809587%, 198
('aten::add_', 'aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 80529.88600000064, 2.8058815755444204%, 198
('aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcmul_'), 80981.15700000292, 2.821605091960225%, 198
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcmul_', 'aten::addcmul'), 95612.04900000081, 3.3313854025467076%, 198
('aten::empty_strided', 'aten::copy_', 'aten::addcmul_', 'aten::addcmul', 'aten::sqrt'), 229069.50800000178, 7.981408442776451%, 198
('aten::copy_', 'aten::addcmul_', 'aten::addcmul', 'aten::sqrt', 'aten::empty'), 229495.7590000038, 7.996260193932078%, 198
('aten::addcmul_', 'aten::addcmul', 'aten::sqrt', 'aten::empty', 'aten::div'), 368530.0230000019, 12.840594379714615%, 198
('aten::addcmul', 'aten::sqrt', 'aten::empty', 'aten::div', 'aten::to'), 322638.1010000014, 11.241594246942515%, 198
('aten::sqrt', 'aten::empty', 'aten::div', 'aten::to', 'aten::empty_strided'), 276741.8630000015, 9.642443732920922%, 198
('aten::empty', 'aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 142351.60300000152, 4.959919353504548%, 198
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::add_'), 23447.80799999903, 0.8169857890286821%, 198
('aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::add_', 'aten::to'), 23460.947999998927, 0.81744362258258%, 198
('aten::copy_', 'aten::empty', 'aten::add_', 'aten::to', 'aten::empty_strided'), 23509.574000001885, 0.8191378854740078%, 198
('aten::empty', 'aten::add_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 23462.48100000457, 0.8174970364973984%, 198
('aten::add_', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcdiv_'), 160858.46800000663, 5.604749168917447%, 198
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcdiv_', 'aten::addcdiv'), 276574.1280000075, 9.636599386561642%, 197
('aten::empty_strided', 'aten::copy_', 'aten::addcdiv_', 'aten::addcdiv', 'aten::add'), 436621.1600000055, 15.213075904973195%, 197
('aten::copy_', 'aten::addcdiv_', 'aten::addcdiv', 'aten::add', 'aten::mul_'), 468930.3280000035, 16.338815723012463%, 197
('aten::addcdiv_', 'aten::addcdiv', 'aten::add', 'aten::mul_', 'aten::to'), 470223.133000002, 16.383860586608414%, 197
('aten::addcdiv', 'aten::add', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 332819.54000000027, 11.596343440336703%, 197
('aten::mul', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty'), 17860.62500000003, 0.6223130455593561%, 156
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::conj', 'aten::mm'), 305604.3719999999, 10.64809252059063%, 148
('aten::transpose', 'aten::as_strided', 'aten::conj', 'aten::mm', 'aten::empty'), 305210.5259999995, 10.634369848302196%, 148
('aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::fill_'), 938296.015000001, 32.69280054482174%, 144
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::fill_', 'aten::zeros_like'), 783195.8310000008, 27.28868574638348%, 144
('aten::empty_strided', 'aten::zero_', 'aten::fill_', 'aten::zeros_like', 'aten::empty_like'), 782943.3830000014, 27.2798897673108%, 144
('aten::zero_', 'aten::fill_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 782656.1570000013, 27.269882027557912%, 144
('aten::fill_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 627762.7940000005, 21.872973438666914%, 144
('aten::transpose', 'aten::as_strided', 'aten::t', 'aten::transpose', 'aten::as_strided'), 2229.1959999992887, 0.0776712882056641%, 97
('aten::as_strided', 'aten::conj', 'aten::mm', 'aten::empty', 'aten::t'), 166791.94499999925, 5.811487742882345%, 75
('aten::conj', 'aten::mm', 'aten::empty', 'aten::t', 'aten::transpose'), 167009.46899999894, 5.819066874235366%, 75
