kList(4),            Time(us),                Time%,   Calls (Top 320, sorted by time)
-------------------------------------------------------------
('aten::empty_strided', 'aten::transpose', 'aten::as_strided', 'aten::matmul'), 223795.46100000193, 1.2230807318954513%, 18
('aten::as_strided', 'aten::matmul', 'aten::expand', 'aten::as_strided'), 223181.95999999996, 1.2197278432856997%, 18
('aten::addcdiv_', 'aten::addcdiv', 'aten::mul_', 'aten::to'), 218335.02199997008, 1.193238492473851%, 186
('aten::addcmul', 'aten::sqrt', 'aten::empty', 'aten::div'), 216912.6059999708, 1.1854647440941246%, 187
('aten::copy_', 'aten::addcdiv_', 'aten::addcdiv', 'aten::mul_'), 210977.52599997818, 1.1530285098746604%, 186
('aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 209873.99399998246, 1.1469975174667097%, 223
('aten::threshold', 'aten::empty', 'aten::t', 'aten::transpose'), 209030.59600000046, 1.1423882021638532%, 12
('aten::fill_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 207621.42500000633, 1.134686839989941%, 197
('aten::view', 'aten::expand', 'aten::as_strided', 'aten::contiguous'), 191817.61600000132, 1.0483163023923894%, 36
('aten::copy_', 'aten::masked_fill_', 'aten::softmax', 'aten::_softmax'), 191791.82200000095, 1.048175333740666%, 18
('aten::mul', 'aten::empty', 'aten::matmul', 'aten::expand'), 189867.12000000052, 1.0376565058773917%, 18
('aten::copy_', 'aten::mul', 'aten::empty', 'aten::matmul'), 189022.0969999999, 1.0330383096696087%, 18
('aten::sqrt', 'aten::empty', 'aten::div', 'aten::to'), 188939.4859999679, 1.0325868263288374%, 187
('aten::addcmul_', 'aten::addcmul', 'aten::sqrt', 'aten::empty'), 186945.47799997963, 1.021689229241151%, 187
('aten::copy_', 'aten::addcmul_', 'aten::addcmul', 'aten::sqrt'), 186915.1299999822, 1.021523372195246%, 187
('aten::masked_fill_', 'aten::softmax', 'aten::_softmax', 'aten::empty'), 181739.7020000005, 0.9932387669677533%, 18
('aten::matmul', 'aten::expand', 'aten::as_strided', 'aten::view'), 177596.02300000234, 0.9705928476921271%, 18
('aten::empty', 'aten::matmul', 'aten::expand', 'aten::as_strided'), 177266.19800000126, 0.9687902972713269%, 18
('aten::empty_strided', 'aten::copy_', 'aten::addcdiv_', 'aten::addcdiv'), 175870.7089999672, 0.9611637095832339%, 186
('aten::empty_like', 'aten::empty', 'aten::copy_', 'aten::_unsafe_view'), 174144.76500001084, 0.9517311284162854%, 72
('aten::copy_', 'aten::mul', 'aten::empty', 'aten::add_'), 174037.4329999991, 0.9511445405536736%, 30
('aten::empty', 'aten::copy_', 'aten::_unsafe_view', 'aten::view'), 172706.08100000303, 0.943868472615166%, 72
('aten::_softmax', 'aten::empty', 'aten::dropout', 'aten::empty_like'), 167752.1500000005, 0.9167943866342951%, 18
('aten::_unsafe_view', 'aten::view', 'aten::add_', 'aten::dropout'), 159315.32700000022, 0.8706856961201807%, 12
('aten::add_', 'aten::dropout', 'aten::empty_like', 'aten::empty'), 158820.46700000035, 0.8679812010053953%, 12
('aten::view', 'aten::add_', 'aten::dropout', 'aten::empty_like'), 158697.82100000064, 0.8673109194957819%, 12
('aten::nll_loss_backward', 'aten::zeros_like', 'aten::empty_like', 'aten::empty'), 156328.6339999996, 0.8543629045672826%, 1
('aten::mul', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 153227.85199999996, 0.8374165969832882%, 2
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::mul'), 143580.6869999998, 0.7846931790185412%, 50
('aten::empty_strided', 'aten::copy_', 'aten::mul', 'aten::empty'), 140854.46599999856, 0.7697939117988621%, 50
('aten::zeros_like', 'aten::empty_like', 'aten::empty', 'aten::zero_'), 140828.3990000002, 0.7696514511551394%, 1
('aten::empty', 'aten::zero_', 'aten::fill_', 'aten::resize_as_'), 140750.49200000055, 0.7692256759845725%, 1
('aten::zero_', 'aten::fill_', 'aten::resize_as_', 'aten::resize_'), 140740.16800000053, 0.7691692535467819%, 1
('aten::empty_like', 'aten::empty', 'aten::zero_', 'aten::fill_'), 140727.89500000048, 0.7691021794883737%, 1
('aten::addcdiv', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 133036.6069999691, 0.7270679661300562%, 186
('aten::native_layer_norm', 'aten::empty', 'aten::empty', 'aten::empty'), 130304.93499999905, 0.7121389082568867%, 32
('aten::bmm', 'aten::empty', 'aten::resize_', 'aten::transpose'), 129238.96100000385, 0.7063131767864185%, 36
('aten::bmm', 'aten::empty', 'aten::resize_', 'aten::_unsafe_view'), 125837.1469999972, 0.6877216774847401%, 36
('aten::view', 'aten::bmm', 'aten::empty', 'aten::resize_'), 125134.34299999705, 0.6838807326020411%, 36
('aten::_log_softmax', 'aten::empty', 'aten::nll_loss', 'aten::nll_loss_forward'), 120614.23700000066, 0.6591775749507759%, 1
('aten::empty', 'aten::view', 'aten::view', 'aten::log_softmax'), 120223.68800000101, 0.6570431574133238%, 1
('aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 117194.32999998517, 0.6404871942884386%, 374
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcdiv_'), 115245.30199998245, 0.6298354206462196%, 187
('aten::empty', 'aten::copy_', 'aten::masked_fill_', 'aten::softmax'), 111232.5990000001, 0.6079053077647191%, 18
('aten::copy_', 'aten::add_', 'aten::mul_', 'aten::to'), 110397.48300000094, 0.6033412550179273%, 187
('aten::add_', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 110021.31900002435, 0.6012854539826951%, 187
('aten::empty', 'aten::dropout', 'aten::empty_like', 'aten::empty'), 104898.40799999931, 0.5732878632033815%, 18
('aten::empty_strided', 'aten::copy_', 'aten::add_', 'aten::mul_'), 102684.39200000279, 0.5611878845103196%, 187
('aten::native_layer_norm_backward', 'aten::empty', 'aten::empty', 'aten::empty'), 97188.7249999987, 0.5311531180026172%, 32
('aten::empty', 'aten::div', 'aten::to', 'aten::empty_strided'), 95215.56399996765, 0.520369453359546%, 187
('aten::empty_strided', 'aten::copy_', 'aten::addcmul_', 'aten::addcmul'), 93185.98000000417, 0.5092774273058156%, 187
