kList(4),            Time(us),                Time%,   Calls (Top 171, sorted by time)
-------------------------------------------------------------
('aten::batch_norm', 'aten::_batch_norm_impl_index', 'aten::empty', 'aten::native_batch_norm'), 5777067.706999998, 41.67575191438358%, 1408
('aten::relu_', 'aten::threshold_', 'aten::batch_norm', 'aten::_batch_norm_impl_index'), 4002243.368000018, 28.872173594858612%, 1408
('aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution'), 3974150.243000005, 28.66950986173642%, 1408
('aten::threshold_', 'aten::batch_norm', 'aten::_batch_norm_impl_index', 'aten::empty'), 3926948.1960000135, 28.32899441334742%, 1408
('aten::_batch_norm_impl_index', 'aten::empty', 'aten::native_batch_norm', 'aten::empty'), 3845896.256999995, 27.744285929171%, 1408
('aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided'), 3129379.7359998072, 22.575337548043596%, 414208
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::select'), 3103591.9339998043, 22.389304409247742%, 410624
('aten::as_strided', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 2993794.6970000053, 21.597227417568405%, 1408
('aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty'), 2977436.298000013, 21.47921796830851%, 1408
('aten::as_strided_', 'aten::relu_', 'aten::threshold_', 'aten::batch_norm'), 2077608.0360000269, 14.987859148465901%, 1408
('aten::select', 'aten::as_strided', 'aten::conv2d', 'aten::convolution'), 2006774.3219999908, 14.476864913750088%, 1408
('aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_'), 1981535.5030000263, 14.294792136936335%, 1408
('aten::native_batch_norm', 'aten::empty', 'aten::empty', 'aten::select'), 1925400.6179999886, 13.889835217672722%, 1408
('aten::empty', 'aten::native_batch_norm', 'aten::empty', 'aten::empty'), 1921096.998999996, 13.858788921026347%, 1408
('aten::native_batch_norm_backward', 'aten::empty_like', 'aten::empty', 'aten::empty_like'), 1100197.1339999954, 7.936819358710635%, 768
('aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_', 'aten::relu_'), 1066975.6330000209, 7.697159534017778%, 1408
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::conv2d'), 719414.9179999947, 5.189857409797257%, 1056
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_'), 647552.5010000019, 4.6714421142259805%, 576
('aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights'), 422977.20799999766, 3.0513565151204713%, 576
('aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::as_strided_', 'aten::empty'), 275959.11599999835, 1.9907683690452784%, 768
('aten::empty', 'aten::select', 'aten::as_strided', 'aten::conv2d'), 233783.32899999636, 1.6865123476598658%, 160
('aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty'), 206419.26199999248, 1.489108037116837%, 576
('aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::as_strided_'), 205236.59399998788, 1.4805762731381062%, 576
('aten::empty', 'aten::as_strided_', 'aten::relu_', 'aten::threshold_'), 151417.27000002336, 1.092323805107554%, 1408
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::as_strided_'), 140628.57000000039, 1.014494150430864%, 192
('aten::sub', 'aten::empty', 'aten::mul', 'aten::to'), 83891.79599999049, 0.6051952054346386%, 2720
('aten::empty', 'aten::sub', 'aten::empty', 'aten::mul'), 71662.8689999897, 0.5169757568009306%, 2720
('aten::mul', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 69905.61800000074, 0.5042989525048507%, 2880
('aten::empty', 'aten::mul', 'aten::to', 'aten::empty_strided'), 60024.29700000889, 0.4330151276531768%, 2720
('aten::_local_scalar_dense', 'aten::select', 'aten::as_strided', 'aten::conv2d'), 56178.911999999546, 0.405274529930651%, 191
('aten::copy_', 'aten::empty', 'aten::sub', 'aten::empty'), 38751.41699998117, 0.27955262481434556%, 2880
('aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::sub'), 38273.05599998392, 0.2761017297629952%, 2880
('aten::empty', 'aten::select', 'aten::as_strided', 'aten::select'), 32777.24400001288, 0.23645495581202386%, 3584
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty'), 29233.70800000328, 0.21089189601662875%, 2900
('aten::empty_like', 'aten::empty', 'aten::select', 'aten::as_strided'), 24749.73899998825, 0.1785445549235026%, 2176
('aten::log_softmax', 'aten::_log_softmax', 'aten::empty', 'aten::nll_loss'), 19116.13499998927, 0.1379037498307475%, 352
('aten::as_strided', 'aten::empty_like', 'aten::empty', 'aten::select'), 17925.345999985064, 0.1293134009784362%, 1408
('aten::_log_softmax', 'aten::empty', 'aten::nll_loss', 'aten::nll_loss_forward'), 17884.89699999761, 0.12902160199421805%, 352
('aten::select', 'aten::as_strided', 'aten::empty_like', 'aten::empty'), 17486.406999988154, 0.12614689613597896%, 1408
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::addmm'), 15348.200999994822, 0.11072188342761247%, 352
('aten::select', 'aten::as_strided', 'aten::log_softmax', 'aten::_log_softmax'), 15195.862000002944, 0.10962291026466098%, 352
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::empty_like'), 13493.092999985554, 0.09733913897940472%, 1408
('aten::as_strided', 'aten::log_softmax', 'aten::_log_softmax', 'aten::empty'), 13094.208999996321, 0.09446159080630204%, 352
