kList(5),            Time(us),                Time%,   Calls (Top 402, sorted by calls)
-------------------------------------------------------------
('aten::batch_norm', 'aten::_batch_norm_impl_index', 'aten::empty', 'aten::native_batch_norm', 'aten::empty'), 3638351.0960000046, 10.083391691088895%, 17
('aten::_batch_norm_impl_index', 'aten::empty', 'aten::native_batch_norm', 'aten::empty', 'aten::empty'), 2425533.143000005, 6.722166194316875%, 17
('aten::empty', 'aten::native_batch_norm', 'aten::empty', 'aten::empty', 'aten::select'), 1212829.0010000067, 3.3612561153980223%, 17
('aten::native_batch_norm', 'aten::empty', 'aten::empty', 'aten::select', 'aten::as_strided'), 1212828.9080000091, 3.361255857656156%, 17
('aten::empty', 'aten::empty', 'aten::select', 'aten::as_strided', 'aten::select'), 278.15500000910833, 0.0007708837717751336%, 17
('aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::empty_like'), 1110.2590000019409, 0.003076991769124258%, 17
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::empty_like', 'aten::empty'), 2010.0830000014976, 0.00557078019295533%, 17
('aten::select', 'aten::as_strided', 'aten::empty_like', 'aten::empty', 'aten::select'), 2049.375000001397, 0.005679674748722867%, 17
('aten::as_strided', 'aten::empty_like', 'aten::empty', 'aten::select', 'aten::as_strided'), 2033.546000001952, 0.005635805973318502%, 17
('aten::empty_like', 'aten::empty', 'aten::select', 'aten::as_strided', 'aten::select'), 2075.638000001665, 0.005752460499464986%, 17
('aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::alias'), 226.60400000074878, 0.0006280144028120631%, 17
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::alias', 'aten::view'), 267.99800000246614, 0.0007427344792052211%, 17
('aten::select', 'aten::as_strided', 'aten::alias', 'aten::view', 'aten::mean'), 1546.3380000009201, 0.004285548955945037%, 17
('aten::as_strided', 'aten::alias', 'aten::view', 'aten::mean', 'aten::sum'), 1984.5600000014529, 0.005500045291528402%, 17
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::copy_', 'aten::alias'), 762.1590000009164, 0.002112261165874535%, 17
('aten::empty_strided', 'aten::copy_', 'aten::copy_', 'aten::alias', 'aten::view'), 409.05400000233203, 0.0011336596155782836%, 17
('aten::copy_', 'aten::copy_', 'aten::alias', 'aten::view', 'aten::mean'), 773.4510000045411, 0.00214355601785776%, 17
('aten::copy_', 'aten::alias', 'aten::view', 'aten::mean', 'aten::sum'), 838.8550000037067, 0.0023248178402477462%, 17
