kList(3),            Time(us),                Time%,   Calls (Top 116, sorted by calls)
-------------------------------------------------------------
('aten::empty', 'aten::fill_', 'aten::view'), 40.087999999988824, 0.006031835210115929%, 4
('aten::threshold', 'aten::empty', 'aten::t'), 138.6519999999997, 0.02086225343128181%, 3
('aten::view', 'aten::conv2d', 'aten::convolution'), 39571.80100000001, 5.9541654011067475%, 3
('aten::empty', 'aten::as_strided_', 'aten::relu'), 2763.3200000000143, 0.4157825502100948%, 3
('aten::as_strided_', 'aten::relu', 'aten::threshold'), 5427.952000000001, 0.816716024556683%, 3
('aten::threshold', 'aten::empty', 'aten::conv2d'), 22178.872999999985, 3.3371409669259307%, 3
('aten::empty', 'aten::conv2d', 'aten::convolution'), 38941.789000000004, 5.859370735261692%, 3
('aten::empty', 'aten::as_strided_', 'aten::pixel_shuffle'), 14683.453000000001, 2.209343664226379%, 3
('aten::as_strided_', 'aten::pixel_shuffle', 'aten::reshape'), 14709.814000000006, 2.2133100683366846%, 3
('aten::pixel_shuffle', 'aten::reshape', 'aten::view'), 14739.67100000001, 2.217802497589042%, 3
('aten::reshape', 'aten::view', 'aten::permute'), 111.74700000001394, 0.0168139964384628%, 3
('aten::view', 'aten::permute', 'aten::as_strided'), 74.15500000000247, 0.011157721512828934%, 3
('aten::permute', 'aten::as_strided', 'aten::reshape'), 14588.778999999988, 2.195098554301145%, 3
('aten::as_strided', 'aten::reshape', 'aten::clone'), 29047.979999999996, 4.370700173288569%, 3
('aten::_unsafe_view', 'aten::view', 'aten::conv2d'), 16623.073999999997, 2.5011884617239715%, 2
('aten::zeros', 'aten::empty', 'aten::zero_'), 22.271999999982654, 0.0033511533077138994%, 2
('aten::threshold', 'aten::empty', 'aten::view'), 373.9900000000016, 0.05627235208121869%, 1
('aten::empty', 'aten::view', 'aten::conv2d'), 3205.012999999999, 0.4822418245431218%, 1
('aten::_unsafe_view', 'aten::view', 'aten::sigmoid'), 979.3949999999895, 0.14736452917613935%, 1
('aten::view', 'aten::sigmoid', 'aten::empty'), 971.3449999999866, 0.14615328707273023%, 1
('aten::sigmoid', 'aten::empty', 'aten::view'), 977.0249999999942, 0.14700792746370794%, 1
('aten::empty', 'aten::view', 'aten::rsub'), 414.40200000000186, 0.06235293790518782%, 1
('aten::view', 'aten::rsub', 'aten::to'), 427.58000000000175, 0.06433576379819643%, 1
('aten::rsub', 'aten::to', 'aten::empty_strided'), 421.3000000000029, 0.06339084449268027%, 1
('aten::copy_', 'aten::empty', 'aten::zeros'), 19.176999999996042, 0.0028854645735482327%, 1
('aten::empty', 'aten::zeros', 'aten::empty'), 14.41700000000128, 0.0021692518515334593%, 1
('aten::empty', 'aten::broadcast_tensors', 'aten::mse_loss'), 2109.9570000000094, 0.3174743794760073%, 1
('aten::broadcast_tensors', 'aten::mse_loss', 'aten::empty'), 2113.0250000000087, 0.3179360056590206%, 1
('aten::mse_loss', 'aten::empty', 'aten::mean'), 2491.9419999999955, 0.3749496980934662%, 1
('aten::empty', 'aten::mean', 'aten::sum'), 725.8280000000086, 0.10921160663762963%, 1
('aten::mean', 'aten::sum', 'aten::empty'), 722.6619999999966, 0.10873523489857294%, 1
('aten::sum', 'aten::empty', 'aten::as_strided'), 343.6000000000058, 0.051699725059779635%, 1
('aten::empty', 'aten::as_strided', 'aten::fill_'), 5.3549999999959255, 0.0008057393122668935%, 1
('aten::as_strided', 'aten::fill_', 'aten::div_'), 30.20899999998801, 0.004545392882218384%, 1
('aten::fill_', 'aten::div_', 'aten::to'), 40.005999999979394, 0.006019497091794074%, 1
('aten::div_', 'aten::to', 'aten::empty_strided'), 39.21999999998661, 0.005901231713748053%, 1
('aten::empty_strided', 'aten::copy_', 'aten::ones_like'), 15.202000000004773, 0.002287366764723526%, 1
('aten::copy_', 'aten::ones_like', 'aten::empty_like'), 17.862000000008265, 0.0026876032858503944%, 1
('aten::ones_like', 'aten::empty_like', 'aten::empty_strided'), 15.117000000012922, 0.002274577251831617%, 1
