kList(1),            Time(us),                Time%,   Calls (Top 55, sorted by calls)
-------------------------------------------------------------
('aten::empty_strided',), 193.9649999999965, 0.02918491609784577%, 144
('aten::copy_',), 32251.643999999913, 4.852739020738821%, 113
('aten::empty',), 349.6580000002099, 0.05261124116694696%, 111
('aten::to',), 469.4199999998673, 0.07063121343874995%, 83
('aten::empty_like',), 222.60599999998158, 0.033494380083399763%, 48
('aten::zero_',), 18512.188000000082, 2.785433730660477%, 43
('aten::zeros_like',), 18786.924999999974, 2.8267719942336518%, 41
('aten::mul_',), 7977.984000000259, 1.2004062262262147%, 40
('aten::add_',), 10516.199000000168, 1.582318384673833%, 40
('aten::as_strided',), 44.040000000045055, 0.006626472327226386%, 30
('aten::as_strided_',), 45.24700000000303, 0.00680808341030258%, 24
('aten::view',), 112.9559999999874, 0.016995908451256456%, 20
('aten::new_empty_strided',), 106.01500000001397, 0.015951531874892805%, 20
('aten::addcmul_',), 7043.419999999896, 1.0597871870795739%, 20
('aten::addcmul',), 6967.170000000129, 1.048314241690179%, 20
('aten::sqrt',), 42881.718999999866, 6.4521917415328405%, 20
('aten::div',), 15038.692999999912, 2.2627948002282157%, 20
('aten::addcdiv_',), 9751.660999999935, 1.4672822833997785%, 20
('aten::t',), 203.9160000000295, 0.030682191895492934%, 19
('aten::transpose',), 92.86900000005934, 0.013973520857333126%, 19
('aten::addcdiv',), 9543.125999999786, 1.4359050943271687%, 19
('aten::reshape',), 17576.630999999983, 2.6446652799103125%, 14
('aten::fill_',), 18431.093000000008, 2.773231783036127%, 13
('aten::relu',), 3235.284000000008, 0.4867965462465125%, 7
('aten::threshold',), 3147.111999999989, 0.47352975882517434%, 7
('aten::threshold_backward',), 3302.9929999999877, 0.49698437128746564%, 7
('aten::conj',), 11.577000000019325, 0.0017419316560478982%, 7
('aten::mm',), 44293.187000000034, 6.664568073112248%, 7
('aten::conv2d',), 39259.66999999999, 5.907200654649721%, 6
('aten::convolution',), 39221.70800000001, 5.901488707726792%, 6
('aten::_convolution',), 39184.75600000001, 5.895928730310001%, 6
('aten::mkldnn_convolution',), 39124.06300000001, 5.886796566709731%, 6
('aten::permute',), 61.74999999999636, 0.009291204954718133%, 6
('aten::clone',), 17386.605, 2.6160730448864222%, 6
('aten::_unsafe_view',), 55.413999999989755, 0.008337859617177099%, 6
('aten::mkldnn_convolution_backward',), 87696.28399999997, 13.1952088811533%, 6
('aten::mkldnn_convolution_backward_input',), 55374.31400000003, 8.331888268841267%, 6
('aten::mkldnn_convolution_backward_weights',), 32200.250000000015, 4.845006029849074%, 6
('aten::sum',), 561.9689999999682, 0.08455658554166812%, 5
('aten::addmm',), 17147.957, 2.580164907557941%, 4
('aten::expand',), 12.219999999999999, 0.0018386805594601176%, 4
('aten::pixel_shuffle',), 14660.707999999991, 2.205921341041032%, 3
('aten::zeros',), 17.419000000008964, 0.002620947353948631%, 2
('aten::mse_loss_backward',), 3019.400999999998, 0.45431374140052666%, 2
('aten::neg',), 3419.0160000000033, 0.5144417554568822%, 2
('aten::sigmoid',), 965.4459999999963, 0.14526569487794813%, 1
('aten::rsub',), 402.82300000000396, 0.060610705319428006%, 1
('aten::broadcast_tensors',), 1.6000000000058208, 0.0002407437721069469%, 1
('aten::mse_loss',), 2106.9489999999932, 0.31702178118444546%, 1
('aten::mean',), 380.51699999999255, 0.05725443620655254%, 1
('aten::div_',), 26.163999999989755, 0.003936762533362986%, 1
('aten::ones_like',), 9.23300000000745, 0.0013892420299107173%, 1
('aten::resize_',), 6.415999999997439, 0.0009653825261449596%, 1
('aten::mul',), 578.0399999999936, 0.08697470626761986%, 1
('aten::sigmoid_backward',), 615.2989999999991, 0.09258087639568324%, 1
Total time: 664607.0160000003us
