kList(4),            Time(us),                Time%,   Calls (Top 206, sorted by time)
-------------------------------------------------------------
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::sum'), 134.8050000000003, 1.7262798039541363%, 5
('aten::expand', 'aten::as_strided', 'aten::copy_', 'aten::relu'), 134.41200000000006, 1.7212471422356959%, 5
('aten::resize_', 'aten::copy_', 'aten::resize_', 'aten::arange'), 126.36999999999989, 1.6182632604553506%, 3
('aten::copy_', 'aten::resize_', 'aten::arange', 'aten::empty'), 125.24600000000191, 1.603869591825545%, 3
('aten::as_strided', 'aten::conj', 'aten::mm', 'aten::empty'), 124.8740000000007, 1.5991058509622755%, 9
('aten::cumsum', 'aten::to', 'aten::_cumsum', 'aten::empty_like'), 117.83299999999963, 1.5089405299456748%, 3
('aten::reshape', 'aten::view', 'aten::to', 'aten::_sparse_coo_tensor_unsafe'), 117.54500000000098, 1.5052524725031728%, 3
('aten::sub_', 'aten::cumsum', 'aten::to', 'aten::_cumsum'), 116.82799999999997, 1.4960707461618883%, 3
('aten::relu', 'aten::threshold', 'aten::empty', 'aten::t'), 111.1750000000005, 1.4236798130974486%, 3
('aten::empty', 'aten::cat', 'aten::_cat', 'aten::empty'), 110.6909999999998, 1.4174818276732062%, 2
('aten::select', 'aten::as_strided', 'aten::sub_', 'aten::cumsum'), 110.4680000000003, 1.414626144306262%, 3
('aten::cat', 'aten::_cat', 'aten::empty', 'aten::resize_'), 110.09100000000012, 1.409798374667962%, 2
('aten::index_select', 'aten::empty', 'aten::resize_', 'aten::select'), 104.09900000000016, 1.333066290655551%, 3
('aten::sum', 'aten::empty', 'aten::fill_', 'aten::view'), 102.62700000000041, 1.3142162192826785%, 5
('aten::arange', 'aten::resize_', 'aten::as_strided', 'aten::copy_'), 101.32600000000002, 1.297555932016294%, 3
('aten::empty', 'aten::arange', 'aten::resize_', 'aten::as_strided'), 96.60300000000188, 1.2370743511100057%, 3
('aten::empty', 'aten::broadcast_tensors', 'aten::mse_loss', 'aten::empty'), 95.17800000000034, 1.2188261502225217%, 1
('aten::transpose', 'aten::as_strided', 'aten::sum', 'aten::empty'), 94.73999999999955, 1.2132172295286803%, 5
('aten::as_strided', 'aten::narrow', 'aten::slice', 'aten::as_strided'), 91.08799999999837, 1.1664506122367213%, 7
('aten::empty', 'aten::mean', 'aten::sum', 'aten::empty'), 89.85000000000014, 1.1505970875359153%, 1
('aten::mean', 'aten::sum', 'aten::empty', 'aten::as_strided'), 89.69399999999996, 1.1485993897545486%, 1
('aten::as_strided', 'aten::sub_', 'aten::cumsum', 'aten::to'), 89.10800000000017, 1.1410952173194255%, 3
('aten::zeros', 'aten::empty', 'aten::zero_', 'aten::ones_like'), 87.04200000000128, 1.1146385274713684%, 3
('aten::reshape', 'aten::view', 'aten::reshape', 'aten::view'), 82.7630000000006, 1.0598427017889316%, 5
('aten::select', 'aten::as_strided', 'aten::sparse_dim', 'aten::select'), 80.5699999999988, 1.0317596810547265%, 9
('aten::select', 'aten::as_strided', 'aten::add_', 'aten::_nnz'), 80.53799999999774, 1.031349896894433%, 9
('aten::as_strided', 'aten::sum', 'aten::empty', 'aten::fill_'), 80.50699999999983, 1.0309529184891886%, 5
