kList(5),            Time(us),                Time%,   Calls (Top 170, sorted by calls)
-------------------------------------------------------------
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::empty_like', 'aten::empty'), 8497.424000013154, 0.00838473811826516%, 159
('aten::select', 'aten::as_strided', 'aten::empty_like', 'aten::empty', 'aten::select'), 8898.975000028717, 0.008780964077597398%, 159
('aten::as_strided', 'aten::empty_like', 'aten::empty', 'aten::select', 'aten::as_strided'), 8616.94900002885, 0.008502678075564655%, 159
('aten::native_batch_norm_backward', 'aten::empty_like', 'aten::empty', 'aten::empty_like', 'aten::empty'), 7837189.751999979, 7.7332593564319705%, 159
('aten::empty_like', 'aten::empty', 'aten::empty_like', 'aten::empty', 'aten::empty_like'), 6622.084000058472, 0.006534267342380249%, 159
('aten::empty', 'aten::empty_like', 'aten::empty', 'aten::empty_like', 'aten::empty'), 3725.770000069402, 0.003676361887958321%, 159
('aten::empty_like', 'aten::empty', 'aten::empty_like', 'aten::empty', 'aten::select'), 2794.9269999945536, 0.00275786296583371%, 159
('aten::empty', 'aten::empty_like', 'aten::empty', 'aten::select', 'aten::as_strided'), 2748.9840000318363, 0.002712529224331079%, 159
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights'), 33721795.48700002, 33.27460463732931%, 156
('aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty'), 16862663.766000062, 16.639044921619845%, 156
('aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::empty'), 8269963.470000061, 8.16029398361934%, 156
('aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::empty', 'aten::as_strided_'), 8266334.533000024, 8.156713170611427%, 156
('aten::relu_', 'aten::threshold_', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 21590642.62899999, 21.30432519889989%, 141
('aten::threshold_', 'aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution'), 28313777.987000022, 27.93830383882558%, 141
('aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::relu_'), 131529.00199992637, 0.1297847720349661%, 99
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::relu_', 'aten::threshold_'), 260474.69499990117, 0.2570204927994392%, 99
('aten::select', 'aten::as_strided', 'aten::relu_', 'aten::threshold_', 'aten::conv2d'), 5028219.3809999265, 4.961539251284209%, 96
('aten::as_strided', 'aten::relu_', 'aten::threshold_', 'aten::conv2d', 'aten::convolution'), 9850755.38199997, 9.720122727197438%, 96
('aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::fill_'), 130157.8799999766, 0.12843183273268427%, 92
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::fill_', 'aten::zeros_like'), 110937.46899996512, 0.10946630709099923%, 92
('aten::empty_strided', 'aten::zero_', 'aten::fill_', 'aten::zeros_like', 'aten::empty_like'), 110904.01699997298, 0.10943329870404976%, 92
('aten::zero_', 'aten::fill_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 110822.85899998806, 0.10935321695503093%, 92
('aten::fill_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 91669.23699997738, 0.09045359461229703%, 92
('aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::fill_', 'aten::zero_'), 46823.39699997008, 0.04620246343500147%, 92
('aten::zero_', 'aten::zero_', 'aten::fill_', 'aten::zero_', 'aten::zero_'), 43311.9759999793, 0.0427376080261324%, 90
('aten::zero_', 'aten::fill_', 'aten::zero_', 'aten::zero_', 'aten::zero_'), 66173.10599998198, 0.06529557243244435%, 90
('aten::fill_', 'aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::fill_'), 67169.43999999948, 0.06627869386647628%, 84
