kList(4),            Time(us),                Time%,   Calls (Top 161, sorted by time)
-------------------------------------------------------------
('aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution'), 34256819.44700005, 33.80253354750145%, 159
('aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty'), 25695002.556000028, 25.354256464062598%, 159
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_'), 25459321.55400004, 25.121700870600723%, 156
('aten::threshold_', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 21307719.616000008, 21.025154079319215%, 141
('aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_'), 17130505.07100001, 16.903334334467253%, 159
('aten::batch_norm', 'aten::_batch_norm_impl_index', 'aten::empty', 'aten::native_batch_norm'), 16927309.11599999, 16.702832997901805%, 159
('aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights'), 16861342.012000047, 16.63774069563949%, 156
('aten::relu_', 'aten::threshold_', 'aten::conv2d', 'aten::convolution'), 14582570.160999969, 14.389188051699348%, 141
('aten::as_strided_', 'aten::add', 'aten::batch_norm', 'aten::_batch_norm_impl_index'), 11289752.338999953, 11.140036884406337%, 159
('aten::add', 'aten::batch_norm', 'aten::_batch_norm_impl_index', 'aten::empty'), 11289413.96799998, 11.1397030006056%, 159
('aten::_batch_norm_impl_index', 'aten::empty', 'aten::native_batch_norm', 'aten::empty'), 11284116.147000011, 11.13447543497134%, 159
('aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::empty', 'aten::as_strided_'), 8598701.516000021, 8.484672574733024%, 159
('aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_', 'aten::add'), 8569522.358999949, 8.455880367829264%, 159
('aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty'), 8268487.19400005, 8.158837284783276%, 156
('aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::empty'), 8265912.320000013, 8.156296556654633%, 156
('aten::native_batch_norm_backward', 'aten::empty_like', 'aten::empty', 'aten::empty_like'), 7836969.276999973, 7.73304180519095%, 159
('aten::empty', 'aten::as_strided_', 'aten::add', 'aten::batch_norm'), 5651674.37799992, 5.576726498426478%, 159
('aten::native_batch_norm', 'aten::empty', 'aten::empty', 'aten::select'), 5642484.204000033, 5.567658196991805%, 159
('aten::empty', 'aten::native_batch_norm', 'aten::empty', 'aten::empty'), 5641689.630000023, 5.566874159981806%, 159
('aten::as_strided', 'aten::relu_', 'aten::threshold_', 'aten::conv2d'), 5027971.1979999505, 4.961294359484035%, 96
('aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided'), 3614998.43700149, 3.5670592866907014%, 477603
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::select'), 3610365.8870014637, 3.562488169776925%, 477126
('aten::as_strided', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 3360958.5830000024, 3.3163883012954227%, 12
('aten::add_', 'aten::relu_', 'aten::threshold_', 'aten::conv2d'), 2856095.966999987, 2.8182207600669464%, 45
('aten::select', 'aten::as_strided', 'aten::conv2d', 'aten::convolution'), 2240763.8119999957, 2.211048636442812%, 12
('aten::relu_', 'aten::threshold_', 'aten::max_pool2d', 'aten::max_pool2d_with_indices'), 1242911.6550000007, 1.226429177983635%, 3
('aten::threshold_', 'aten::max_pool2d', 'aten::max_pool2d_with_indices', 'aten::empty'), 1215012.3200000015, 1.1988998211281476%, 3
('aten::max_pool2d', 'aten::max_pool2d_with_indices', 'aten::empty', 'aten::empty'), 1187185.4780000034, 1.1714419959298328%, 3
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::conv2d'), 1120453.361999997, 1.1055948266304216%, 12
('aten::zero_', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 952653.4669999965, 0.9400201564897745%, 2
('aten::empty', 'aten::empty', 'aten::as_strided_', 'aten::add'), 933142.1210000152, 0.9207675539899522%, 48
('aten::as_strided', 'aten::add_', 'aten::relu_', 'aten::threshold_'), 678983.7040000111, 0.6699795778815967%, 48
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::empty'), 666015.0300000105, 0.6571828838210212%, 3
('aten::as_strided', 'aten::relu_', 'aten::threshold_', 'aten::max_pool2d'), 649340.3290000001, 0.6407293090570405%, 3
('aten::fill_', 'aten::zero_', 'aten::conv2d', 'aten::convolution'), 636840.3479999956, 0.6283950925735313%, 2
('aten::max_pool2d_with_indices', 'aten::empty', 'aten::empty', 'aten::resize_'), 593738.5490000013, 0.5858648743520449%, 3
('aten::select', 'aten::as_strided', 'aten::add_', 'aten::relu_'), 497879.45900000073, 0.49127698914071843%, 48
('aten::max_pool2d_with_indices_backward', 'aten::zeros_like', 'aten::empty_like', 'aten::empty'), 365872.0620000046, 0.3610201661885959%, 3
('aten::zero_', 'aten::fill_', 'aten::zero_', 'aten::conv2d'), 321019.85399999097, 0.3167627514584978%, 2
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::add_'), 315646.2760000236, 0.31146043345156676%, 48
('aten::zeros_like', 'aten::empty_like', 'aten::empty', 'aten::zero_'), 291343.2829999896, 0.28747972685213136%, 6
('aten::empty_like', 'aten::empty', 'aten::zero_', 'aten::fill_'), 290977.5339999907, 0.2871188281159963%, 3
('aten::empty', 'aten::zero_', 'aten::fill_', 'aten::resize_as_'), 290938.9759999942, 0.2870807814406352%, 3
('aten::zero_', 'aten::fill_', 'aten::resize_as_', 'aten::resize_'), 290891.5559999868, 0.28703399028585347%, 3
('aten::select', 'aten::as_strided', 'aten::relu_', 'aten::threshold_'), 260421.73299992146, 0.2569682331381526%, 99
('aten::addcmul', 'aten::sqrt', 'aten::empty', 'aten::div'), 186837.2859999109, 0.1843596028436662%, 483
('aten::empty', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 186787.294, 0.1843102737967385%, 1
('aten::fill_', 'aten::resize_as_', 'aten::resize_', 'aten::zero_'), 175483.67499998398, 0.17315655413962433%, 3
('aten::resize_', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 167454.77300000444, 0.16523412486612454%, 3
('aten::addcdiv_', 'aten::addcdiv', 'aten::mul_', 'aten::to'), 166607.80100004748, 0.16439838471556462%, 480
('aten::copy_', 'aten::addcdiv_', 'aten::addcdiv', 'aten::mul_'), 164827.38100007363, 0.162641575188315%, 480
