kList(3),            Time(us),                Time%,   Calls (Top 300, sorted by calls)
-------------------------------------------------------------
('aten::as_strided', 'aten::copy_', 'aten::add'), 8702.366999999154, 0.08113699032311873%, 73
('aten::sub', 'aten::empty_strided', 'aten::exp'), 755526.8129999952, 7.0441951845105235%, 58
('aten::empty', 'aten::zero_', 'aten::fill_'), 302979.1679999989, 2.8248426918934655%, 55
('aten::add', 'aten::view', 'aten::unsqueeze'), 17056.41100000088, 0.15902637227944325%, 53
('aten::unsqueeze', 'aten::as_strided', 'aten::slice'), 651.418000000529, 0.006073531024645755%, 52
('aten::as_strided', 'aten::add', 'aten::view'), 16294.752000000786, 0.15192500331712186%, 52
('aten::as_strided', 'aten::copy_', 'aten::view_as'), 1547.142999998061, 0.014424871603247225%, 52
('aten::copy_', 'aten::view_as', 'aten::view'), 1692.361000000732, 0.015778819495925217%, 52
('aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 3904.428000004962, 0.03640314604678786%, 52
('aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 3469.9680000049993, 0.03235243469253418%, 52
('aten::mul_', 'aten::to', 'aten::empty_strided'), 2814.5189999956638, 0.02624132042085839%, 52
('aten::slice', 'aten::as_strided', 'aten::add_'), 4015.5540000018664, 0.03743923532989861%, 51
('aten::as_strided', 'aten::add_', 'aten::slice'), 4079.6890000035055, 0.03803720147801747%, 51
('aten::t', 'aten::transpose', 'aten::as_strided'), 492.24299999716055, 0.0045894542861035885%, 50
('aten::empty_strided', 'aten::exp', 'aten::empty_strided'), 596941.5949999965, 5.565617310438238%, 50
('aten::empty', 'aten::zero_', 'aten::select'), 684.3319999985397, 0.006380406487302522%, 46
('aten::zero_', 'aten::select', 'aten::as_strided'), 605.445999994874, 0.005644908591278649%, 46
('aten::zero_', 'aten::fill_', 'aten::select'), 5069.852999996394, 0.04726904919091344%, 44
('aten::fill_', 'aten::select', 'aten::as_strided'), 2635.2099999990314, 0.024569523242277406%, 44
('aten::masked_fill_', 'aten::sub', 'aten::empty_strided'), 102873.59299999708, 0.9591475192606825%, 29
('aten::as_strided', 'aten::sub', 'aten::empty_strided'), 56035.14999999851, 0.5224467576815397%, 29
('aten::stack', 'aten::unsqueeze', 'aten::as_strided'), 3197.377000002278, 0.02981091773175877%, 28
('aten::unsqueeze', 'aten::as_strided', 'aten::cat'), 2069.0540000001492, 0.019290937095164856%, 28
