kList(4),            Time(us),                Time%,   Calls (Top 359, sorted by calls)
-------------------------------------------------------------
('aten::masked_fill_', 'aten::sub', 'aten::empty', 'aten::exp'), 1185438.0169999935, 11.05249559275021%, 103
('aten::empty', 'aten::exp', 'aten::empty', 'aten::sum'), 768913.5819999987, 7.169007450737771%, 103
('aten::as_strided', 'aten::slice', 'aten::as_strided', 'aten::copy_'), 2882.190999999759, 0.02687226398017724%, 103
('aten::unsqueeze', 'aten::as_strided', 'aten::sub', 'aten::empty'), 999622.991000006, 9.320039128152416%, 102
('aten::as_strided', 'aten::sub', 'aten::empty', 'aten::exp'), 2138173.4660000075, 19.93537618213627%, 102
('aten::empty', 'aten::exp', 'aten::empty', 'aten::mul'), 2271449.7820000076, 21.177985136871687%, 102
('aten::as_strided', 'aten::unsqueeze', 'aten::as_strided', 'aten::unsqueeze'), 857.3239999873831, 0.007993306773980056%, 99
('aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided'), 546.9810000015423, 0.005099806995505849%, 91
('aten::select_backward', 'aten::zeros', 'aten::empty', 'aten::zero_'), 11659.892000003718, 0.10871163493484047%, 90
('aten::view', 'aten::unsqueeze', 'aten::as_strided', 'aten::unsqueeze'), 2088.867000000413, 0.019475664674373307%, 79
('aten::add_', 'aten::slice', 'aten::as_strided', 'aten::slice'), 5027.734000005592, 0.046876350411986574%, 77
('aten::slice', 'aten::as_strided', 'aten::copy_', 'aten::add'), 9015.77700000396, 0.0840590854424766%, 73
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::select'), 352.9320000014268, 0.003290580628102387%, 63
('aten::zeros', 'aten::empty', 'aten::zero_', 'aten::fill_'), 455030.74899999984, 4.24250384732545%, 55
('aten::add', 'aten::view', 'aten::unsqueeze', 'aten::as_strided'), 17105.790000001703, 0.15948676006189744%, 53
('aten::as_strided', 'aten::unsqueeze', 'aten::as_strided', 'aten::slice'), 683.4220000003188, 0.0063719220530043955%, 52
('aten::unsqueeze', 'aten::as_strided', 'aten::slice', 'aten::as_strided'), 682.2480000009455, 0.006360976200388836%, 52
('aten::unsqueeze', 'aten::as_strided', 'aten::add', 'aten::view'), 16627.22300000416, 0.15502481470291998%, 52
('aten::as_strided', 'aten::add', 'aten::view', 'aten::unsqueeze'), 16645.164000000717, 0.15519208858864647%, 52
('aten::slice', 'aten::as_strided', 'aten::copy_', 'aten::view_as'), 1777.2959999989253, 0.016570715571205447%, 52
('aten::as_strided', 'aten::copy_', 'aten::view_as', 'aten::view'), 1729.1119999987422, 0.016121469436016667%, 52
('aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 6906.917000005022, 0.06439701494915649%, 52
('aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 2911.5429999958724, 0.02714592894278443%, 52
('aten::as_strided', 'aten::slice', 'aten::as_strided', 'aten::add_'), 4043.8680000044405, 0.03770322244331475%, 51
('aten::slice', 'aten::as_strided', 'aten::add_', 'aten::slice'), 4275.805000003427, 0.03986569963193398%, 51
('aten::as_strided', 'aten::add_', 'aten::slice', 'aten::as_strided'), 4122.058000003919, 0.03843223114558195%, 51
