kList(5),            Time(us),                Time%,   Calls (Top 407, sorted by time)
-------------------------------------------------------------
('aten::cat', 'aten::_cat', 'aten::empty', 'aten::resize_', 'aten::logsumexp'), 18353.38500000091, 0.1711187796540517%, 26
('aten::add', 'aten::view', 'aten::unsqueeze', 'aten::as_strided', 'aten::unsqueeze'), 17502.010000000846, 0.16318093870384157%, 53
('aten::zeros', 'aten::empty', 'aten::zero_', 'aten::fill_', 'aten::slice'), 17116.137999998406, 0.15958324020064543%, 8
('aten::empty', 'aten::resize_', 'aten::logsumexp', 'aten::empty', 'aten::amax'), 17070.42999999982, 0.1591570791856509%, 26
('aten::resize_', 'aten::logsumexp', 'aten::empty', 'aten::amax', 'aten::empty'), 17053.2880000007, 0.15899725481969995%, 26
('aten::unsqueeze', 'aten::as_strided', 'aten::add', 'aten::view', 'aten::unsqueeze'), 16977.63500000409, 0.1582918999744446%, 52
('aten::as_strided', 'aten::add', 'aten::view', 'aten::unsqueeze', 'aten::as_strided'), 16693.415000001543, 0.15564195940197212%, 52
('aten::as_strided', 'aten::unsqueeze', 'aten::as_strided', 'aten::add', 'aten::view'), 16660.380000004043, 0.15533395578926285%, 52
('aten::slice', 'aten::as_strided', 'aten::unsqueeze', 'aten::as_strided', 'aten::add'), 16611.112000003523, 0.1548746029213268%, 52
('aten::_cat', 'aten::empty', 'aten::resize_', 'aten::logsumexp', 'aten::empty'), 16412.91000000076, 0.15302665583333933%, 26
('aten::zero_', 'aten::fill_', 'aten::slice', 'aten::as_strided', 'aten::copy_'), 16355.438000001945, 0.15249081252682803%, 8
('aten::slice_backward', 'aten::zeros', 'aten::empty', 'aten::zero_', 'aten::slice'), 15966.850000020582, 0.14886779125064298%, 174
('aten::as_strided', 'aten::fill_', 'aten::log_', 'aten::log', 'aten::add_'), 15077.700000002646, 0.1405777530406636%, 132
('aten::resize_', 'aten::fill_', 'aten::squeeze', 'aten::as_strided', 'aten::abs'), 14395.534999994576, 0.1342175506952063%, 132
('aten::squeeze', 'aten::as_strided', 'aten::abs', 'aten::empty', 'aten::abs'), 13964.085999997182, 0.13019491256264865%, 132
('aten::fill_', 'aten::squeeze', 'aten::as_strided', 'aten::abs', 'aten::empty'), 13950.051999997024, 0.13006406580311672%, 132
('aten::as_strided', 'aten::abs', 'aten::empty', 'aten::abs', 'aten::resize_'), 13710.700000003711, 0.12783245446021677%, 132
('aten::empty', 'aten::abs', 'aten::resize_', 'aten::eq', 'aten::empty'), 13086.233000004248, 0.12201020254460938%, 132
('aten::resize_', 'aten::as_strided', 'aten::fill_', 'aten::log_', 'aten::log'), 12948.259000002909, 0.12072379447851062%, 132
('aten::resize_', 'aten::eq', 'aten::empty', 'aten::eq', 'aten::item'), 12802.82500000488, 0.11936783269817042%, 132
('aten::eq', 'aten::empty', 'aten::eq', 'aten::item', 'aten::_local_scalar_dense'), 12403.124000003972, 0.11564119876406749%, 132
('aten::select_backward', 'aten::zeros', 'aten::empty', 'aten::zero_', 'aten::fill_'), 11670.03500000108, 0.1088062037449853%, 44
('aten::empty', 'aten::zero_', 'aten::fill_', 'aten::slice', 'aten::as_strided'), 11352.815999999642, 0.10584859520774151%, 8
('aten::fill_', 'aten::log_', 'aten::log', 'aten::add_', 'aten::view'), 11302.187000002095, 0.10537655298257789%, 26
('aten::fill_', 'aten::slice', 'aten::as_strided', 'aten::copy_', 'aten::add'), 10164.726000002585, 0.09477137370780193%, 3
('aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::fill_'), 9408.49299999699, 0.08772059435047502%, 24
('aten::zeros', 'aten::empty', 'aten::zero_', 'aten::fill_', 'aten::select'), 8132.040000000037, 0.07581951563146919%, 44
('aten::zeros', 'aten::empty', 'aten::zero_', 'aten::slice', 'aten::as_strided'), 7923.908000013791, 0.07387898565050915%, 174
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::fill_', 'aten::zeros_like'), 7899.132999998517, 0.07364799459526009%, 24
('aten::empty_strided', 'aten::zero_', 'aten::fill_', 'aten::zeros_like', 'aten::empty_like'), 7855.1660000011325, 0.07323806588812504%, 24
('aten::zero_', 'aten::fill_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 7811.476000002585, 0.07283071980549033%, 24
('aten::log_', 'aten::log', 'aten::add_', 'aten::view', 'aten::unsqueeze'), 7530.846000001562, 0.07021425079258131%, 26
('aten::slice', 'aten::as_strided', 'aten::slice', 'aten::as_strided', 'aten::slice'), 7464.949999994798, 0.06959986586548256%, 559
('aten::eq', 'aten::item', 'aten::_local_scalar_dense', 'aten::to', 'aten::empty_strided'), 7321.477000001629, 0.0682621875749582%, 132
('aten::contiguous', 'aten::empty_like', 'aten::empty', 'aten::copy_', 'aten::view'), 7308.772999999999, 0.0681437411424879%, 4
