kList(3),            Time(us),                Time%,   Calls (Top 133, sorted by time)
-------------------------------------------------------------
('aten::new_empty_strided', 'aten::empty_strided', 'aten::copy_'), 245905.25800000504, 0.1267287192683897%, 32
('aten::fill_', 'aten::zero_', 'aten::zero_'), 244497.32699999958, 0.1260031337567169%, 28
('aten::zero_', 'aten::zeros_like', 'aten::empty_like'), 225845.8569999896, 0.11639098912508807%, 33
('aten::empty_strided', 'aten::zero_', 'aten::zeros_like'), 225697.10799996927, 0.11631433045410906%, 33
('aten::empty', 'aten::add_', 'aten::to'), 137698.65799999982, 0.07096381230415016%, 96
('aten::copy_', 'aten::empty', 'aten::add_'), 137168.94299991056, 0.07069082056707%, 96
('aten::add_', 'aten::to', 'aten::empty_strided'), 136987.43700003996, 0.0705972803837888%, 96
('aten::resize_', 'aten::adaptive_avg_pool2d', 'aten::_adaptive_avg_pool2d'), 32837.95599999651, 0.016923233529521377%, 3
('aten::adaptive_avg_pool2d', 'aten::_adaptive_avg_pool2d', 'aten::empty'), 32820.02800000645, 0.016913994229409365%, 3
('aten::_adaptive_avg_pool2d_backward', 'aten::empty', 'aten::resize_'), 28824.62699999474, 0.01485494085327083%, 3
('aten::resize_', 'aten::resize_', 'aten::adaptive_avg_pool2d'), 16507.142000008374, 0.008507052600080894%, 3
('aten::_adaptive_avg_pool2d', 'aten::empty', 'aten::resize_'), 16448.451000018045, 0.008476805848458545%, 3
('aten::to', 'aten::empty_strided', 'aten::copy_'), 5501.575999706984, 0.0028352695101808776%, 390
('aten::relu_', 'aten::threshold_', 'aten::dropout'), 4362.426000004634, 0.0022482018659548144%, 6
('aten::threshold_', 'aten::dropout', 'aten::empty_like'), 4174.2010000012815, 0.0021511990064847783%, 6
('aten::dropout', 'aten::empty_like', 'aten::empty'), 4038.927000001073, 0.002081484755924352%, 6
('aten::bernoulli_', 'aten::empty', 'aten::div_'), 2620.335000006482, 0.001350405035279687%, 6
('aten::empty_like', 'aten::empty', 'aten::bernoulli_'), 2122.741999987513, 0.001093967559634825%, 6
('aten::empty', 'aten::bernoulli_', 'aten::empty'), 2076.257999991998, 0.0010700117571692132%, 6
('aten::empty', 'aten::as_strided_', 'aten::empty'), 1834.958999985829, 0.0009456569000171782%, 39
('aten::t', 'aten::transpose', 'aten::as_strided'), 1379.2290000356734, 0.0007107937673798707%, 45
('aten::empty_strided', 'aten::copy_', 'aten::empty'), 1293.5429998598993, 0.0006666349838311812%, 96
