kList(4),            Time(us),                Time%,   Calls (Top 142, sorted by calls)
-------------------------------------------------------------
('aten::zeros_like', 'aten::empty_like', 'aten::empty', 'aten::zero_'), 1663976.684000006, 0.857540159046857%, 18
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::conj'), 625.4070000052452, 0.00032230717137471246%, 18
('aten::transpose', 'aten::as_strided', 'aten::conj', 'aten::mm'), 1159385.8139999881, 0.5974962899986259%, 18
('aten::as_strided', 'aten::conj', 'aten::mm', 'aten::empty'), 1159571.2959999703, 0.5975918792369215%, 18
('aten::conj', 'aten::mm', 'aten::empty', 'aten::t'), 1159960.6499999799, 0.597792535108067%, 18
('aten::mm', 'aten::empty', 'aten::t', 'aten::transpose'), 1160137.379999984, 0.5978836139517605%, 18
('aten::as_strided_', 'aten::relu_', 'aten::threshold_', 'aten::max_pool2d'), 2997978.2819999973, 1.5450257191015373%, 15
('aten::relu_', 'aten::threshold_', 'aten::max_pool2d', 'aten::max_pool2d_with_indices'), 5529567.560000002, 2.8496951252128997%, 15
('aten::threshold_', 'aten::max_pool2d', 'aten::max_pool2d_with_indices', 'aten::empty'), 5296350.347999997, 2.729505264985899%, 15
('aten::max_pool2d', 'aten::max_pool2d_with_indices', 'aten::empty', 'aten::empty'), 5063598.32299999, 2.6095551416120646%, 15
('aten::max_pool2d_with_indices', 'aten::empty', 'aten::empty', 'aten::resize_'), 2532494.9830000238, 1.3051361665036407%, 15
('aten::max_pool2d_with_indices_backward', 'aten::zeros_like', 'aten::empty_like', 'aten::empty'), 2378426.8240000177, 1.2257362356973258%, 15
('aten::empty_like', 'aten::empty', 'aten::zero_', 'aten::fill_'), 1662944.9580000006, 0.8570084529919315%, 15
('aten::empty', 'aten::zero_', 'aten::fill_', 'aten::resize_as_'), 1662726.2579999957, 0.856895744662187%, 15
('aten::zero_', 'aten::fill_', 'aten::resize_as_', 'aten::resize_'), 1662452.3929999433, 0.8567546067256038%, 15
('aten::fill_', 'aten::resize_as_', 'aten::resize_', 'aten::zero_'), 1089351.888999967, 0.5614038953390902%, 15
('aten::resize_as_', 'aten::resize_', 'aten::zero_', 'aten::fill_'), 516264.0700000003, 0.26605972124184907%, 15
('aten::empty', 'aten::resize_', 'aten::resize_', 'aten::conv2d'), 4182212.0510000084, 2.155327548677489%, 12
('aten::resize_', 'aten::resize_', 'aten::conv2d', 'aten::convolution'), 8363478.24000001, 4.310167641816855%, 12
('aten::resize_', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 12543911.941999994, 6.464578707890359%, 12
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::addmm'), 544095.3359999824, 0.2804027276683141%, 9
('aten::transpose', 'aten::as_strided', 'aten::addmm', 'aten::empty'), 543922.4939999748, 0.2803136525282585%, 9
('aten::as_strided', 'aten::addmm', 'aten::empty', 'aten::expand'), 543905.8869999647, 0.2803050940132463%, 9
('aten::addmm', 'aten::empty', 'aten::expand', 'aten::as_strided'), 543902.268999977, 0.2803032294556989%, 9
('aten::empty', 'aten::expand', 'aten::as_strided', 'aten::copy_'), 973.0749999731779, 0.0005014799175163901%, 9
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::sum'), 994.4130000136793, 0.000512476581186272%, 9
('aten::transpose', 'aten::as_strided', 'aten::sum', 'aten::empty'), 866.3090000115335, 0.0004464574322446524%, 9
('aten::as_strided', 'aten::sum', 'aten::empty', 'aten::fill_'), 829.6260000132024, 0.00042755263270307146%, 9
('aten::sum', 'aten::empty', 'aten::fill_', 'aten::view'), 863.3139999974519, 0.0004449139413934183%, 9
('aten::expand', 'aten::as_strided', 'aten::copy_', 'aten::relu_'), 1080.3829999901354, 0.0005567817257005856%, 6
