kList(5),            Time(us),                Time%,   Calls (Top 170, sorted by time)
-------------------------------------------------------------
('aten::empty', 'aten::empty', 'aten::resize_', 'aten::resize_', 'aten::conv2d'), 150244.26299999983, 0.5855483833092858%, 3
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::conv2d', 'aten::convolution'), 140525.95400000096, 0.5476731259794972%, 9
('aten::zero_', 'aten::zero_', 'aten::fill_', 'aten::zero_', 'aten::conv2d'), 125183.67600000044, 0.48787952122014655%, 2
('aten::addcmul_', 'aten::addcmul', 'aten::sqrt', 'aten::empty', 'aten::div'), 107668.55200000713, 0.4196176632505164%, 186
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::relu_', 'aten::threshold_'), 104551.8179999961, 0.4074707864349168%, 27
('aten::zeros_like', 'aten::empty_like', 'aten::empty', 'aten::zero_', 'aten::fill_'), 103527.03100000136, 0.4034768743939406%, 3
('aten::zero_', 'aten::fill_', 'aten::resize_as_', 'aten::resize_', 'aten::zero_'), 103056.95399999851, 0.4016448388680148%, 3
('aten::fill_', 'aten::resize_as_', 'aten::resize_', 'aten::zero_', 'aten::fill_'), 102864.34499999974, 0.4008941819956116%, 3
('aten::addcmul', 'aten::sqrt', 'aten::empty', 'aten::div', 'aten::to'), 86116.80500000296, 0.3356238363890993%, 186
('aten::select', 'aten::as_strided', 'aten::add_', 'aten::relu_', 'aten::threshold_'), 82163.87499999726, 0.32021804501563367%, 24
('aten::copy_', 'aten::addcmul_', 'aten::addcmul', 'aten::sqrt', 'aten::empty'), 74887.84200002113, 0.2918610929765329%, 186
('aten::empty_strided', 'aten::copy_', 'aten::addcmul_', 'aten::addcmul', 'aten::sqrt'), 74431.82100001862, 0.29008383803198595%, 186
('aten::copy_', 'aten::addcdiv_', 'aten::addcdiv', 'aten::mul_', 'aten::to'), 72170.9269999913, 0.281272434520694%, 183
('aten::addcdiv_', 'aten::addcdiv', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 72016.43999998923, 0.2806703508784487%, 183
('aten::empty_strided', 'aten::copy_', 'aten::addcdiv_', 'aten::addcdiv', 'aten::mul_'), 71262.34699998144, 0.27773141711683536%, 183
('aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::conv2d'), 70326.11700000125, 0.27408263910729463%, 9
('aten::empty_like', 'aten::empty', 'aten::zero_', 'aten::fill_', 'aten::resize_as_'), 69010.70200000051, 0.2689560598206618%, 3
('aten::empty', 'aten::zero_', 'aten::fill_', 'aten::resize_as_', 'aten::resize_'), 68909.33399999933, 0.26856099735814376%, 3
('aten::sqrt', 'aten::empty', 'aten::div', 'aten::to', 'aten::empty_strided'), 64312.517000006046, 0.25064577910641783%, 186
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::add_', 'aten::relu_'), 60938.89199999644, 0.2374977185735014%, 24
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcdiv_', 'aten::addcdiv'), 55693.2959999796, 0.21705400780563322%, 185
('aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::relu_'), 52637.645999993634, 0.2051451942394819%, 27
('aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::fill_'), 46744.075000003446, 0.1821761243924505%, 38
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcmul_', 'aten::addcmul'), 46345.07200001087, 0.18062108623714201%, 186
('aten::addcdiv', 'aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 44853.234999974724, 0.17480693582574067%, 183
('aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcmul_'), 40455.531000003684, 0.1576677225470558%, 186
('aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::add_'), 40409.57199997874, 0.15748860610276855%, 186
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::add_', 'aten::mul_'), 39923.342999970075, 0.1555936212348727%, 186
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::fill_', 'aten::zeros_like'), 39901.42300000461, 0.15550819221225556%, 38
('aten::empty_strided', 'aten::copy_', 'aten::add_', 'aten::mul_', 'aten::to'), 39871.18899996113, 0.15539036095871592%, 186
('aten::empty_strided', 'aten::zero_', 'aten::fill_', 'aten::zeros_like', 'aten::empty_like'), 39843.77000000421, 0.15528350063156499%, 38
('aten::copy_', 'aten::add_', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 39842.795999958646, 0.15527970465200053%, 186
('aten::add_', 'aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 39803.04599998519, 0.15512478660217788%, 186
('aten::zero_', 'aten::fill_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 39771.151000003796, 0.15500048191791346%, 38
('aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::add_'), 39375.90099999629, 0.15346007036484544%, 24
('aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty'), 38594.969000010984, 0.15041653671547153%, 189
('aten::add_', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcdiv_'), 38289.434999996796, 0.14922577617538804%, 186
('aten::empty', 'aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 35569.8810000089, 0.13862683272012136%, 186
('aten::fill_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 33024.17900000466, 0.128705444304181%, 38
('aten::zero_', 'aten::fill_', 'aten::zero_', 'aten::zero_', 'aten::zero_'), 30532.091999995988, 0.11899301013342553%, 36
