kList(4),            Time(us),                Time%,   Calls (Top 161, sorted by time)
-------------------------------------------------------------
('aten::empty_like', 'aten::empty', 'aten::zero_', 'aten::fill_'), 68986.72600000026, 0.26886261792971666%, 3
('aten::empty', 'aten::zero_', 'aten::fill_', 'aten::resize_as_'), 68905.57399999956, 0.2685463434746799%, 3
('aten::zero_', 'aten::fill_', 'aten::resize_as_', 'aten::resize_'), 68822.31399999931, 0.26822185349136207%, 3
('aten::fill_', 'aten::resize_as_', 'aten::resize_', 'aten::zero_'), 68648.05599999893, 0.26754271614434116%, 3
('aten::resize_as_', 'aten::resize_', 'aten::zero_', 'aten::fill_'), 68478.66500000004, 0.26688254700233205%, 3
('aten::sqrt', 'aten::empty', 'aten::div', 'aten::to'), 64049.591000003275, 0.24962107512666187%, 186
('aten::select', 'aten::as_strided', 'aten::add_', 'aten::relu_'), 60925.45099999639, 0.2374453348374243%, 24
('aten::empty_strided', 'aten::copy_', 'aten::addcdiv_', 'aten::addcdiv'), 54723.97899997933, 0.2132762795188342%, 185
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::relu_'), 52562.969999994704, 0.20485415876033433%, 27
('aten::empty_strided', 'aten::copy_', 'aten::addcmul_', 'aten::addcmul'), 45305.49800002109, 0.17656954468161265%, 186
('aten::addcdiv', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 44505.532999987714, 0.17345183354163018%, 183
('aten::copy_', 'aten::add_', 'aten::mul_', 'aten::to'), 39697.06199996034, 0.154711734159229%, 186
('aten::zero_', 'aten::fill_', 'aten::zeros_like', 'aten::empty_like'), 39587.37200000277, 0.15428423828778698%, 38
('aten::empty_strided', 'aten::zero_', 'aten::fill_', 'aten::zeros_like'), 39561.683000005316, 0.1541841203057956%, 38
('aten::add_', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 39473.23099997314, 0.1538393954917818%, 186
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::add_'), 39315.687999996066, 0.15322540167200935%, 24
('aten::empty_strided', 'aten::copy_', 'aten::add_', 'aten::mul_'), 38831.61499997135, 0.15133881940318655%, 186
('aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 38178.51000000816, 0.14879346712667627%, 189
('aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 35992.11799997883, 0.1402724209626871%, 372
('aten::empty', 'aten::div', 'aten::to', 'aten::empty_strided'), 35186.194000008516, 0.1371314857560445%, 186
('aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 32663.644000005443, 0.1273003278480807%, 124
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::fill_'), 30987.07500000205, 0.12076621967079575%, 38
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcdiv_'), 28969.0479999925, 0.1129013440094197%, 186
('aten::fill_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 24537.7600000035, 0.09563124349069707%, 38
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcmul_'), 24277.858000011183, 0.09461832497470453%, 186
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::add_'), 23745.669999977574, 0.09254422366252142%, 186
('aten::zero_', 'aten::zero_', 'aten::fill_', 'aten::zero_'), 20918.43299999507, 0.08152560623569861%, 38
('aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::fill_'), 20917.064999995288, 0.08152027471639633%, 38
('aten::fill_', 'aten::zero_', 'aten::zero_', 'aten::zero_'), 20400.41899999464, 0.07950674538753544%, 36
('aten::zero_', 'aten::fill_', 'aten::zero_', 'aten::zero_'), 20284.39699999476, 0.07905457175260444%, 36
('aten::copy_', 'aten::empty', 'aten::add_', 'aten::to'), 11071.80000000773, 0.043150230570389796%, 186
('aten::empty', 'aten::add_', 'aten::to', 'aten::empty_strided'), 10826.553999995813, 0.04219443102135778%, 186
('aten::add_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 10759.478999995627, 0.04193301899119874%, 186
('aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::add_'), 10360.98200001102, 0.04037995287449392%, 186
('aten::zero_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 8024.089000002481, 0.03127235774374481%, 85
('aten::empty_strided', 'aten::zero_', 'aten::zeros_like', 'aten::empty_like'), 7952.561000002082, 0.03099359099468378%, 85
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::zeros_like'), 7897.5520000015385, 0.0307792039001311%, 85
('aten::empty_like', 'aten::empty', 'aten::select', 'aten::as_strided'), 3883.181999994704, 0.015133961835152537%, 120
('aten::to', 'aten::div', 'aten::to', 'aten::empty_strided'), 3199.72500000149, 0.012470318422642061%, 3
('aten::as_strided', 'aten::to', 'aten::div', 'aten::to'), 3198.757000000449, 0.01246654582710773%, 3
('aten::expand', 'aten::as_strided', 'aten::to', 'aten::div'), 3191.162999999011, 0.012436949659274733%, 3
