kList(1),            Time(us),                Time%,   Calls (Top 62, sorted by calls)
-------------------------------------------------------------
('aten::as_strided',), 48369.52900016328, 0.18851102159872327%, 86421
('aten::select',), 213143.15700025222, 0.8306848361653258%, 86400
('aten::empty',), 8664.57699998382, 0.03376853766722097%, 1137
('aten::empty_strided',), 1523.1419999909122, 0.005936155682997039%, 939
('aten::copy_',), 7215.771000001347, 0.028122092378201638%, 815
('aten::to',), 4399.47999999579, 0.017146134900332764%, 753
('aten::add_',), 85771.35000000615, 0.33427749135924456%, 520
('aten::empty_like',), 3750.8669999950944, 0.014618289337645331%, 373
('aten::mul_',), 32841.57499999367, 0.12799378001259837%, 372
('aten::zero_',), 94718.15799999371, 0.369145970564812%, 266
('aten::div',), 36271.51399999834, 0.141361313628855%, 189
('aten::addcmul_',), 22762.735000011045, 0.08871342181600757%, 186
('aten::addcmul',), 22067.213999999687, 0.08600276126243749%, 186
('aten::sqrt',), 29126.32299999753, 0.11351429335037333%, 186
('aten::addcdiv_',), 27529.95600000117, 0.1072927571841893%, 186
('aten::addcdiv',), 26737.17499998631, 0.10420304431523922%, 185
('aten::as_strided_',), 449.667999999132, 0.0017524953377115768%, 177
('aten::zeros_like',), 50987.87000000384, 0.19871550667386423%, 130
('aten::fill_',), 94126.87600000133, 0.3668415616492089%, 91
('aten::add',), 73858.40799999703, 0.28784907013851124%, 84
('aten::new_empty_strided',), 657.2039999985136, 0.0025613273480101263%, 62
('aten::conv2d',), 2325539.0490000006, 9.063345270391894%, 60
('aten::convolution',), 2325095.922000001, 9.061618267355177%, 60
('aten::_convolution',), 2324671.417000004, 9.059963840014714%, 60
('aten::mkldnn_convolution',), 2323896.478000003, 9.056943662940704%, 60
('aten::batch_norm',), 1049062.0559999996, 4.088519445710323%, 60
('aten::_batch_norm_impl_index',), 1048694.6110000028, 4.087087398846056%, 60
('aten::native_batch_norm',), 1048012.1790000041, 4.084427750175692%, 60
('aten::native_batch_norm_backward',), 1319291.147, 5.141685830893286%, 60
('aten::mkldnn_convolution_backward',), 4707856.957000002, 18.347975323508546%, 60
('aten::mkldnn_convolution_backward_weights',), 2573344.373999996, 10.029119300839763%, 60
('aten::mkldnn_convolution_backward_input',), 2133198.2810000037, 8.313733781087542%, 57
('aten::relu_',), 74086.35699999944, 0.28873745792625916%, 51
('aten::threshold_',), 73227.27200000227, 0.28538933785279186%, 51
('aten::threshold_backward',), 191521.14099999936, 0.746417149266455%, 51
('aten::resize_',), 196.94499999732943, 0.000767555606095147%, 18
('aten::t',), 137.75400000065565, 0.0005368699635124928%, 15
('aten::transpose',), 57.767999998060986, 0.00022513977126617792%, 15
('aten::view',), 53.852999998489395, 0.00020988180484116372%, 9
('aten::zeros',), 56.3099999987669, 0.00021945749411692267%, 6
('aten::sum',), 760.511000001803, 0.0029639466935252267%, 6
('aten::expand',), 36.63299999944866, 0.00014277013642408597%, 6
('aten::resize_as_',), 34.68599999882281, 0.00013518207495734203%, 6
('aten::conj',), 7.491999998455867, 2.9198642259298845e-05%, 6
('aten::mm',), 2498.021000002045, 0.009735560804899715%, 6
('aten::max_pool2d',), 565563.1059999994, 2.204174427463352%, 3
('aten::max_pool2d_with_indices',), 565527.6339999995, 2.204036182103177%, 3
('aten::adaptive_avg_pool2d',), 861.0009999996983, 0.0033555873183490695%, 3
('aten::mean',), 839.789000000339, 0.0032729175906777946%, 3
('aten::div_',), 107.60800000070594, 0.00041938167337250714%, 3
('aten::flatten',), 47.560000001685694, 0.00018535603659739554%, 3
('aten::addmm',), 1722.5889999980573, 0.006713462357329563%, 3
('aten::random_',), 35.59699999843724, 0.00013873252384848531%, 3
('aten::log_softmax',), 294.74399999924935, 0.0011487085712528857%, 3
('aten::_log_softmax',), 276.7979999994859, 0.0010787674561852844%, 3
('aten::nll_loss',), 79.34899999992922, 0.0003092476061276771%, 3
('aten::nll_loss_forward',), 62.515000000130385, 0.00024364029914843665%, 3
('aten::ones_like',), 34.89900000044145, 0.00013601220187268832%, 3
('aten::nll_loss_backward',), 196.6269999993965, 0.0007663162617037942%, 3
('aten::_log_softmax_backward_data',), 179.86300000105985, 0.0007009817663904996%, 3
('aten::reshape',), 22.79399999906309, 8.883527119170779e-05%, 3
('aten::max_pool2d_with_indices_backward',), 116562.6400000006, 0.4542806763028463%, 3
Total time: 25658727.320000306us
