kList(2),            Time(us),                Time%,   Calls (Top 116, sorted by calls)
-------------------------------------------------------------
('aten::select', 'aten::as_strided'), 261488.7640004164, 1.0191026263278178%, 86400
('aten::as_strided', 'aten::select'), 260455.8300004147, 1.015076962906871%, 86220
('aten::empty_strided', 'aten::copy_'), 8219.701999992132, 0.03203472213364648%, 812
('aten::to', 'aten::empty_strided'), 5129.9549999849405, 0.01999302200770603%, 750
('aten::mul_', 'aten::to'), 34972.87699998217, 0.13630012339981384%, 372
('aten::empty_like', 'aten::empty'), 5315.163999986515, 0.020714838790322557%, 246
('aten::copy_', 'aten::empty'), 937.0320000010543, 0.003651903651786589%, 192
('aten::div', 'aten::to'), 37513.864000005415, 0.14620313600185594%, 189
('aten::copy_', 'aten::add_'), 22479.814999978058, 0.08761079503134839%, 186
('aten::add_', 'aten::mul_'), 38287.92299998505, 0.14921988344348092%, 186
('aten::copy_', 'aten::addcmul_'), 23092.550000023097, 0.08999881292640363%, 186
('aten::addcmul_', 'aten::addcmul'), 44829.94900001073, 0.17471618307844505%, 186
('aten::addcmul', 'aten::sqrt'), 51193.53699999722, 0.1995170546128108%, 186
('aten::sqrt', 'aten::empty'), 29728.07799999835, 0.11585951878769175%, 186
('aten::empty', 'aten::div'), 33712.279999998864, 0.131387186821698%, 186
('aten::empty', 'aten::add_'), 9714.369000007864, 0.037859901930661105%, 186
('aten::add_', 'aten::to'), 10294.131000003777, 0.04011941384162016%, 186
('aten::copy_', 'aten::addcdiv_'), 27856.863000004552, 0.10856681491872303%, 186
('aten::addcdiv_', 'aten::addcdiv'), 54260.81399998767, 0.21147118219574665%, 185
('aten::addcdiv', 'aten::mul_'), 43292.44899998885, 0.16872406982650115%, 183
('aten::empty', 'aten::select'), 2351.3950000054465, 0.009164113912121415%, 180
('aten::empty', 'aten::as_strided_'), 4204.965999996995, 0.016388053653461347%, 177
('aten::zeros_like', 'aten::empty_like'), 51777.21000000718, 0.20179180890101356%, 130
('aten::empty_like', 'aten::empty_strided'), 1079.1840000031516, 0.00420591398218709%, 127
('aten::empty', 'aten::empty'), 1463.6109999957916, 0.005704144955213524%, 126
('aten::empty_strided', 'aten::zero_'), 15688.500000000931, 0.06114293902555392%, 124
('aten::empty', 'aten::empty_like'), 1151.7299999981187, 0.00448864819222883%, 120
('aten::zero_', 'aten::zeros_like'), 7440.254000000656, 0.028996972091445753%, 85
('aten::as_strided_', 'aten::add'), 74088.40099999844, 0.2887454240267344%, 84
('aten::zero_', 'aten::zero_'), 10758.070999990683, 0.04192753157949907%, 84
('aten::zero_', 'aten::fill_'), 188384.086000002, 0.734191075225939%, 82
('aten::new_empty_strided', 'aten::empty_strided'), 1044.6909999984782, 0.004071484087927342%, 62
('aten::conv2d', 'aten::convolution'), 4650634.971000002, 18.12496353774707%, 60
('aten::convolution', 'aten::_convolution'), 4649767.339000005, 18.12158210736989%, 60
('aten::_convolution', 'aten::mkldnn_convolution'), 4648567.895000007, 18.116907502955417%, 60
('aten::mkldnn_convolution', 'aten::empty'), 2325569.5050000018, 9.063463966847964%, 60
('aten::add', 'aten::batch_norm'), 1050106.046000001, 4.09258819778435%, 60
('aten::batch_norm', 'aten::_batch_norm_impl_index'), 2097756.6670000027, 8.175606844556379%, 60
('aten::_batch_norm_impl_index', 'aten::empty'), 1048760.8349999979, 4.087345494265868%, 60
('aten::empty', 'aten::native_batch_norm'), 1048078.4029999991, 4.084685845595504%, 60
('aten::native_batch_norm', 'aten::empty'), 1048140.3320000013, 4.084927202071333%, 60
('aten::as_strided', 'aten::empty_like'), 1631.858999993463, 0.006359859472536938%, 60
('aten::native_batch_norm_backward', 'aten::empty_like'), 1320267.9599999946, 5.145492773411565%, 60
('aten::mkldnn_convolution_backward_weights', 'aten::empty'), 2573913.6719999937, 10.031338031304832%, 60
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_input'), 6628701.5900000045, 25.834101229304174%, 57
('aten::mkldnn_convolution_backward_input', 'aten::empty'), 2134591.727000001, 8.319164471326458%, 57
('aten::as_strided_', 'aten::mkldnn_convolution_backward_weights'), 2361185.1409999933, 9.202269120961084%, 57
