kList(5),            Time(us),                Time%,   Calls (Top 482, sorted by time)
-------------------------------------------------------------
('aten::as_strided', 'aten::unsqueeze', 'aten::as_strided', 'aten::_convolution_nogroup', 'aten::slow_conv_transpose2d'), 136169.6000000001, 3.0786502231893107%, 6
('aten::addmm', 'aten::empty', 'aten::expand', 'aten::as_strided', 'aten::copy_'), 129987.20500000005, 2.938872829801986%, 84
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::addmm', 'aten::empty'), 128934.24500000058, 2.9150665210590088%, 84
('aten::transpose', 'aten::as_strided', 'aten::addmm', 'aten::empty', 'aten::expand'), 128531.67500000025, 2.905964840358248%, 84
('aten::as_strided', 'aten::addmm', 'aten::empty', 'aten::expand', 'aten::as_strided'), 128360.12000000011, 2.9020861637737556%, 84
('aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_', 'aten::squeeze', 'aten::as_strided'), 122066.033, 2.7597835327362605%, 12
('aten::as_strided', 'aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_', 'aten::squeeze'), 122055.28300000007, 2.7595404866386066%, 12
('aten::unsqueeze', 'aten::as_strided', 'aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_'), 121959.53700000014, 2.7573757711347846%, 12
('aten::as_strided', 'aten::unsqueeze', 'aten::as_strided', 'aten::mkldnn_convolution', 'aten::empty'), 121952.15800000018, 2.757208939771567%, 12
('aten::unsqueeze', 'aten::as_strided', 'aten::unsqueeze', 'aten::as_strided', 'aten::mkldnn_convolution'), 121947.80100000004, 2.7571104326229605%, 12
('aten::tanh', 'aten::empty', 'aten::mul', 'aten::empty', 'aten::linear'), 120411.75099999976, 2.7223819713854245%, 80
('aten::mul', 'aten::empty', 'aten::linear', 'aten::t', 'aten::transpose'), 119526.52200000008, 2.7023678826429838%, 80
('aten::empty', 'aten::mul', 'aten::empty', 'aten::linear', 'aten::t'), 119443.49599999978, 2.7004907528472626%, 80
('aten::empty', 'aten::linear', 'aten::t', 'aten::transpose', 'aten::as_strided'), 118650.77600000022, 2.68256819447208%, 80
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcdiv_', 'aten::addcdiv'), 113985.91800000565, 2.577100703028838%, 66
('aten::sqrt', 'aten::empty', 'aten::div', 'aten::to', 'aten::empty_strided'), 107995.85500000045, 2.4416717321580705%, 66
('aten::narrow', 'aten::slice', 'aten::as_strided', 'aten::conv1d', 'aten::convolution'), 107183.62799999997, 2.4233081412036146%, 5
('aten::empty_like', 'aten::empty', 'aten::empty_like', 'aten::empty', 'aten::slow_conv_transpose2d_backward'), 102033.15199999989, 2.3068613418671147%, 6
('aten::empty', 'aten::empty_like', 'aten::empty', 'aten::slow_conv_transpose2d_backward', 'aten::empty'), 101991.74999999988, 2.305925286561522%, 6
('aten::empty_like', 'aten::empty', 'aten::slow_conv_transpose2d_backward', 'aten::empty', 'aten::empty'), 101974.66599999974, 2.3055390354422305%, 6
('aten::slow_conv_transpose2d_backward', 'aten::empty', 'aten::empty', 'aten::empty', 'aten::resize_'), 101961.2369999995, 2.3052354199961402%, 6
