kList(2),            Time(us),                Time%,   Calls (Top 258, sorted by time)
-------------------------------------------------------------
('aten::mm', 'aten::empty'), 527700.2200000006, 11.93074225142799%, 179
('aten::conj', 'aten::mm'), 480159.0020000037, 10.855885738620566%, 174
('aten::convolution', 'aten::_convolution'), 431223.003, 9.749494706823798%, 24
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_input'), 404499.7749999999, 9.145310866623497%, 11
('aten::as_strided', 'aten::add'), 399477.0410000018, 9.031752178413244%, 92
('aten::zero_', 'aten::fill_'), 316643.45400000154, 7.158972636539568%, 127
('aten::conv1d', 'aten::convolution'), 294695.517, 6.662753060778166%, 18
('aten::_convolution', 'aten::unsqueeze'), 197686.871, 4.469490470161813%, 23
('aten::zero_', 'aten::lstm'), 189341.467, 4.280809737551855%, 1
('aten::lstm', 'aten::cudnn_is_acceptable'), 189334.057, 4.280642205311517%, 1
('aten::fill_', 'aten::zeros_like'), 178566.74600000004, 4.037204724307692%, 50
('aten::linear', 'aten::t'), 173839.19199999984, 3.930319742804918%, 88
('aten::mkldnn_convolution_backward_weights', 'aten::empty'), 153099.0580000002, 3.461407311777177%, 12
('aten::as_strided_', 'aten::mkldnn_convolution_backward_weights'), 147459.17100000056, 3.3338954488407255%, 11
('aten::conv_transpose1d', 'aten::convolution'), 136808.57099999988, 3.093096679753484%, 6
('aten::_convolution_nogroup', 'aten::slow_conv_transpose2d'), 136121.03200000006, 3.077552152224573%, 6
('aten::mkldnn_convolution_backward_input', 'aten::empty'), 128531.88599999959, 2.9059696108444286%, 11
('aten::as_strided', 'aten::addmm'), 128052.85400000025, 2.895139205425651%, 84
('aten::addmm', 'aten::empty'), 128037.15500000032, 2.8947842676873186%, 84
('aten::mkldnn_convolution', 'aten::empty'), 121845.89500000012, 2.7548064460529473%, 12
('aten::as_strided', 'aten::mkldnn_convolution'), 121732.40000000008, 2.752240444485189%, 12
('aten::empty', 'aten::linear'), 117805.79299999995, 2.663464025101369%, 80
('aten::zeros_like', 'aten::empty_like'), 113717.49500000075, 2.571031943710501%, 133
('aten::addcdiv_', 'aten::addcdiv'), 113429.30000000168, 2.564516160444124%, 66
('aten::empty_strided', 'aten::zero_'), 111189.6679999989, 2.5138804564641575%, 132
('aten::addcmul', 'aten::sqrt'), 106255.26700000046, 2.4023188836905667%, 66
('aten::empty', 'aten::slow_conv_transpose2d_backward'), 101948.21600000001, 2.3049410289973085%, 6
('aten::slow_conv_transpose2d_backward', 'aten::empty'), 101941.19399999978, 2.3047822690254205%, 6
('aten::as_strided', 'aten::_convolution_nogroup'), 92585.33200000014, 2.0932561528113225%, 12
('aten::addcmul_', 'aten::addcmul'), 87764.85200000275, 1.9842702130136618%, 66
('aten::addcdiv', 'aten::mul_'), 80238.3770000008, 1.8141045964694051%, 65
('aten::thnn_conv2d_backward', 'aten::empty'), 71866.02899999917, 1.6248146885984593%, 6
('aten::add', 'aten::conv1d'), 69904.418, 1.5804647445363629%, 6
('aten::as_strided', 'aten::conv_transpose1d'), 68424.65600000008, 1.5470088952750973%, 6
('aten::slow_conv_transpose2d', 'aten::empty_like'), 68083.51899999991, 1.5392961495433874%, 6
('aten::add_', 'aten::mul_'), 65225.45800000103, 1.4746784218307762%, 66
