kList(4),            Time(us),                Time%,   Calls (Top 434, sorted by time)
-------------------------------------------------------------
('aten::slice', 'aten::as_strided', 'aten::conv1d', 'aten::convolution'), 107167.59099999999, 2.422945561643792%, 5
('aten::empty', 'aten::empty_like', 'aten::empty', 'aten::slow_conv_transpose2d_backward'), 101988.33999999997, 2.3058481900784535%, 6
('aten::empty_like', 'aten::empty', 'aten::slow_conv_transpose2d_backward', 'aten::empty'), 101971.88199999998, 2.3054760921551782%, 6
('aten::empty', 'aten::slow_conv_transpose2d_backward', 'aten::empty', 'aten::empty'), 101954.40999999968, 2.305081068767429%, 6
('aten::slow_conv_transpose2d_backward', 'aten::empty', 'aten::empty', 'aten::empty'), 101947.07599999942, 2.3049152548064735%, 6
('aten::as_strided', 'aten::unsqueeze', 'aten::as_strided', 'aten::_convolution_nogroup'), 92676.41500000012, 2.0953154428311116%, 12
('aten::empty_strided', 'aten::copy_', 'aten::addcmul_', 'aten::addcmul'), 87954.63400000287, 1.98856098273508%, 66
('aten::addcdiv', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 80702.03400000418, 1.8245873894462787%, 65
('aten::empty', 'aten::conv1d', 'aten::convolution', 'aten::_convolution'), 74394.37299999999, 1.6819778646664059%, 6
('aten::_convolution_nogroup', 'aten::_nnpack_available', 'aten::thnn_conv2d', 'aten::thnn_conv2d_forward'), 73323.50399999999, 1.657766652429192%, 6
('aten::thnn_conv2d_backward', 'aten::empty', 'aten::empty', 'aten::empty'), 71872.6399999992, 1.624964156296283%, 6
('aten::narrow', 'aten::slice', 'aten::as_strided', 'aten::conv_transpose1d'), 68458.40000000008, 1.5477718113234027%, 6
('aten::slow_conv_transpose2d', 'aten::empty_like', 'aten::empty', 'aten::empty_like'), 68120.26699999988, 1.5401269828453996%, 6
('aten::copy_', 'aten::add_', 'aten::mul_', 'aten::to'), 65764.27700000396, 1.4868605479045667%, 66
('aten::add_', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 65682.77200000267, 1.4850178063055242%, 66
('aten::empty_strided', 'aten::copy_', 'aten::add_', 'aten::mul_'), 65428.87500000466, 1.479277464439858%, 66
('aten::matmul', 'aten::view', 'aten::mm', 'aten::empty'), 64036.82300000009, 1.4478046452459619%, 3
('aten::as_strided', 'aten::matmul', 'aten::view', 'aten::mm'), 64033.68800000014, 1.4477337662212049%, 3
('aten::glu_backward', 'aten::empty', 'aten::glu_backward', 'aten::resize_as_'), 62497.9789999997, 1.4130130146319722%, 12
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcdiv_'), 57432.76000000583, 1.298493785634943%, 66
