kList(3),            Time(us),                Time%,   Calls (Top 367, sorted by calls)
-------------------------------------------------------------
('aten::div', 'aten::to', 'aten::empty_strided'), 45224.67699999735, 1.0224819779136183%, 67
('aten::new_empty_strided', 'aten::empty_strided', 'aten::copy_'), 53350.75500000024, 1.206203982299051%, 66
('aten::empty_strided', 'aten::copy_', 'aten::add_'), 41870.356000003405, 0.9466443379757765%, 66
('aten::copy_', 'aten::add_', 'aten::mul_'), 65367.84200000251, 1.4778975730464887%, 66
('aten::add_', 'aten::mul_', 'aten::to'), 65621.89300000248, 1.483641396688854%, 66
('aten::empty_strided', 'aten::copy_', 'aten::addcmul_'), 44227.564000002574, 0.9999383106047705%, 66
('aten::copy_', 'aten::addcmul_', 'aten::addcmul'), 87893.75500000268, 1.9871845731184101%, 66
('aten::addcmul_', 'aten::addcmul', 'aten::sqrt'), 150293.0490000029, 3.3979664245739185%, 66
('aten::addcmul', 'aten::sqrt', 'aten::empty'), 106539.78500000341, 2.408751533887163%, 66
('aten::sqrt', 'aten::empty', 'aten::div'), 107472.10400000308, 2.4298302775820306%, 66
('aten::empty', 'aten::div', 'aten::to'), 45406.67300000368, 1.0265967144336567%, 66
('aten::copy_', 'aten::empty', 'aten::add_'), 20582.537000004202, 0.4653493300183384%, 66
('aten::empty', 'aten::add_', 'aten::to'), 20789.391000004485, 0.47002607955177667%, 66
('aten::add_', 'aten::to', 'aten::empty_strided'), 20649.53200000385, 0.46686401590785764%, 66
('aten::empty_strided', 'aten::copy_', 'aten::addcdiv_'), 57056.35400000587, 1.2899836452224744%, 66
('aten::copy_', 'aten::addcdiv_', 'aten::addcdiv'), 113555.95800000429, 2.567379763480167%, 66
('aten::addcdiv_', 'aten::addcdiv', 'aten::mul_'), 137108.31000000238, 3.099873460615411%, 65
('aten::addcdiv', 'aten::mul_', 'aten::to'), 80642.16900000209, 1.823233905294033%, 65
('aten::empty_strided', 'aten::zero_', 'aten::fill_'), 221427.37099999748, 5.006237994011616%, 50
('aten::zero_', 'aten::fill_', 'aten::zeros_like'), 289227.25999999954, 6.539121570096635%, 50
('aten::fill_', 'aten::zeros_like', 'aten::empty_like'), 178903.5960000006, 4.0448205455165605%, 50
('aten::select', 'aten::as_strided', 'aten::reshape'), 259.96800000029907, 0.005877600736309711%, 48
('aten::as_strided', 'aten::reshape', 'aten::view'), 206.18200000088837, 0.00466155632623106%, 48
('aten::addmm_', 'aten::select', 'aten::as_strided'), 28682.094999999536, 0.6484717453329195%, 36
('aten::resize_', 'aten::zero_', 'aten::fill_'), 24200.96899999975, 0.5471582395281088%, 26
('aten::zero_', 'aten::fill_', 'aten::resize_'), 21690.75299999991, 0.49040491831211874%, 25
('aten::select', 'aten::as_strided', 'aten::unsqueeze'), 178.1070000001273, 0.00402681035489544%, 24
('aten::unsqueeze', 'aten::as_strided', 'aten::select'), 133.3370000000723, 0.0030146081416822504%, 24
('aten::reshape', 'aten::view', 'aten::view'), 103.69499999987602, 0.0023444339624500155%, 24
('aten::view', 'aten::view', 'aten::view'), 50.03499999992346, 0.001131238278713027%, 24
('aten::view', 'aten::view', 'aten::unsqueeze'), 77.74099999989994, 0.0017576415514230193%, 24
('aten::view', 'aten::unsqueeze', 'aten::as_strided'), 79.55499999995664, 0.0017986541673449283%, 24
('aten::unsqueeze', 'aten::as_strided', 'aten::copy_'), 4220.865000000027, 0.09542928064929342%, 24
('aten::as_strided', 'aten::copy_', 'aten::addmm_'), 23159.97400000004, 0.5236224467440508%, 24
('aten::resize_', 'aten::narrow', 'aten::slice'), 388.9480000000767, 0.008793701729382118%, 24
('aten::reshape', 'aten::view', 'aten::addmm_'), 25743.662000000477, 0.5820368919495363%, 24
('aten::view', 'aten::addmm_', 'aten::zero_'), 29417.05299999984, 0.6650883661553035%, 24
