kList(2),            Time(us),                Time%,   Calls (Top 119, sorted by calls)
-------------------------------------------------------------
('aten::select', 'aten::as_strided'), 1632780.1199996378, 5.09662726981543%, 341280
('aten::as_strided', 'aten::select'), 1630127.2909996489, 5.088346619862695%, 340812
('aten::empty_strided', 'aten::copy_'), 10501.437000004807, 0.03277961896454564%, 2063
('aten::to', 'aten::empty_strided'), 12552.132000055863, 0.03918074299301352%, 1905
('aten::mul_', 'aten::to'), 25095.81800002884, 0.07833512229270667%, 948
('aten::empty_like', 'aten::empty'), 11060.940000032468, 0.03452607472583036%, 630
('aten::copy_', 'aten::empty'), 1572.415999993682, 0.0049082042137208745%, 480
('aten::div', 'aten::to'), 24115.67699996545, 0.0752756697136366%, 477
('aten::copy_', 'aten::add_'), 9137.01000003051, 0.028520640201536815%, 474
('aten::add_', 'aten::mul_'), 17924.010000027716, 0.055948744740109885%, 474
('aten::copy_', 'aten::addcmul_'), 9706.252999975346, 0.030297498800642635%, 474
('aten::addcmul_', 'aten::addcmul'), 15776.533999978565, 0.04924552450300465%, 474
('aten::addcmul', 'aten::sqrt'), 18421.043999996968, 0.05750020718581218%, 474
('aten::sqrt', 'aten::empty'), 11959.980000046082, 0.03733237529539221%, 474
('aten::empty', 'aten::div'), 16314.47400001157, 0.05092467262595788%, 474
('aten::empty', 'aten::add_'), 7296.8720000088215, 0.022776757485022454%, 474
('aten::add_', 'aten::to'), 9330.637000034563, 0.029125035512519305%, 474
('aten::copy_', 'aten::addcdiv_'), 11990.296999960206, 0.037427008030448634%, 474
('aten::addcdiv_', 'aten::addcdiv'), 20882.57799998764, 0.06518374102865018%, 473
('aten::addcdiv', 'aten::mul_'), 19669.856000010855, 0.06139830051520973%, 471
('aten::empty', 'aten::select'), 5182.268999992644, 0.01617614838725958%, 468
('aten::empty', 'aten::as_strided_'), 8168.892000005182, 0.025498716711110342%, 465
('aten::empty_like', 'aten::empty_strided'), 1842.1309999953955, 0.005750103748905873%, 319
