kList(3),            Time(us),                Time%,   Calls (Top 145, sorted by calls)
-------------------------------------------------------------
('aten::fill_', 'aten::zeros_like', 'aten::empty_like'), 7319.315000002272, 0.022846811991677714%, 40
('aten::zero_', 'aten::zero_', 'aten::fill_'), 7404.515999998897, 0.02311276191027327%, 40
('aten::zero_', 'aten::fill_', 'aten::zero_'), 7380.366000004113, 0.023037379103346706%, 40
('aten::fill_', 'aten::zero_', 'aten::zero_'), 2798.609000010416, 0.008735693662786106%, 38
('aten::select', 'aten::as_strided', 'aten::add'), 28703.96000000066, 0.0895977256801284%, 30
('aten::as_strided', 'aten::add', 'aten::conv2d'), 307302.9470000017, 0.9592281046239107%, 30
('aten::add', 'aten::conv2d', 'aten::convolution'), 585748.4149999976, 1.8283792830236167%, 30
('aten::select', 'aten::as_strided', 'aten::conv2d'), 364628.78799999855, 1.1381673512052277%, 21
('aten::as_strided', 'aten::conv2d', 'aten::convolution'), 729000.324000001, 2.2755317053979764%, 21
('aten::t', 'aten::transpose', 'aten::as_strided'), 266.4930000011809, 0.0008318422513750616%, 15
('aten::zeros', 'aten::empty', 'aten::zero_'), 74.71100000011165, 0.00023320599956584118%, 6
('aten::div_', 'aten::to', 'aten::empty_strided'), 312.4459999988321, 0.0009752818425662561%, 6
('aten::transpose', 'aten::as_strided', 'aten::conj'), 52.8789999964647, 0.000165058693501616%, 6
('aten::as_strided', 'aten::conj', 'aten::mm'), 7381.189999996917, 0.02303995117094002%, 6
('aten::conj', 'aten::mm', 'aten::empty'), 7410.715999998385, 0.023132114846215586%, 6
('aten::mm', 'aten::empty', 'aten::t'), 7472.212000000291, 0.023324070999254952%, 6
('aten::empty', 'aten::t', 'aten::transpose'), 144.23100000130944, 0.0004502085974439633%, 6
('aten::relu_', 'aten::threshold_', 'aten::mean'), 4958.425000000745, 0.015477432485118679%, 3
('aten::threshold_', 'aten::mean', 'aten::sum'), 4940.315999999642, 0.01542090630495259%, 3
('aten::mean', 'aten::sum', 'aten::empty'), 3384.763999999035, 0.010565342076977555%, 3
('aten::sum', 'aten::empty', 'aten::as_strided'), 1607.8799999994226, 0.005018903007338004%, 3
('aten::empty', 'aten::as_strided', 'aten::fill_'), 118.65300000016578, 0.00037036837234788797%, 3
('aten::as_strided', 'aten::fill_', 'aten::div_'), 242.66900000046007, 0.0007574770342876661%, 3
('aten::fill_', 'aten::div_', 'aten::to'), 293.7500000006985, 0.0009169233763773253%, 3
('aten::empty_strided', 'aten::copy_', 'aten::dropout_'), 623.3289999985136, 0.0019456848724125272%, 3
('aten::copy_', 'aten::dropout_', 'aten::empty_like'), 632.9119999997783, 0.0019755976442149535%, 3
('aten::dropout_', 'aten::empty_like', 'aten::empty'), 621.1750000019092, 0.0019389612879032556%, 3
('aten::empty_like', 'aten::empty', 'aten::bernoulli_'), 429.506000000285, 0.001340677758957087%, 3
('aten::empty', 'aten::bernoulli_', 'aten::empty'), 420.1159999980591, 0.0013113674253189475%, 3
('aten::bernoulli_', 'aten::empty', 'aten::div_'), 496.46499999635853, 0.0015496863456978636%, 3
('aten::empty', 'aten::div_', 'aten::to'), 117.88899999856949, 0.0003679835912040096%, 3
('aten::empty_strided', 'aten::copy_', 'aten::mul_'), 62.65399999823421, 0.00019557078203162297%, 3
('aten::copy_', 'aten::mul_', 'aten::t'), 104.36099999933504, 0.0003257567335532827%, 3
('aten::mul_', 'aten::t', 'aten::transpose'), 107.98699999996461, 0.00033707507964115857%, 3
('aten::transpose', 'aten::as_strided', 'aten::addmm'), 4555.530999999028, 0.014219822521534465%, 3
('aten::as_strided', 'aten::addmm', 'aten::empty'), 4543.000999998068, 0.01418071086227707%, 3
('aten::addmm', 'aten::empty', 'aten::expand'), 4551.453999997815, 0.014207096405426913%, 3
('aten::empty', 'aten::expand', 'aten::as_strided'), 19.3019999996759, 6.025005961019872e-05%, 3
('aten::expand', 'aten::as_strided', 'aten::copy_'), 126.7750000001397, 0.0003957207184343391%, 3
('aten::as_strided', 'aten::copy_', 'aten::empty'), 122.96699999948032, 0.00038383427003317773%, 3
('aten::copy_', 'aten::empty', 'aten::random_'), 153.26099999900907, 0.00047839521220671493%, 3
('aten::empty', 'aten::random_', 'aten::log_softmax'), 291.68099999800324, 0.00091046511435795%, 3
('aten::random_', 'aten::log_softmax', 'aten::_log_softmax'), 512.8809999979567, 0.001600927925776297%, 3
('aten::log_softmax', 'aten::_log_softmax', 'aten::empty'), 485.98799999733455, 0.0015169830053969702%, 3
