kList(4),            Time(us),                Time%,   Calls (Top 158, sorted by time)
-------------------------------------------------------------
('aten::empty', 'aten::div', 'aten::to', 'aten::empty_strided'), 19017.218000010587, 0.059361129320278774%, 474
('aten::empty_strided', 'aten::copy_', 'aten::addcmul_', 'aten::addcmul'), 17208.813999979757, 0.05371630242135593%, 474
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcdiv_'), 15263.99199999217, 0.0476456547458588%, 474
('aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 14450.363999997266, 0.045105962719071795%, 316
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcmul_'), 12671.687999990769, 0.0395539300266347%, 474
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::add_'), 12616.887000042014, 0.0393828719231394%, 474
('aten::zero_', 'aten::fill_', 'aten::zeros_like', 'aten::empty_like'), 11935.358000004664, 0.037255519168035316%, 40
('aten::empty_strided', 'aten::zero_', 'aten::fill_', 'aten::zeros_like'), 11895.379000006244, 0.03713072706705608%, 40
('aten::add_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 10779.907000022009, 0.03364884671819657%, 474
('aten::copy_', 'aten::empty', 'aten::add_', 'aten::to'), 10737.070000029169, 0.03351513353805285%, 474
('aten::empty', 'aten::add_', 'aten::to', 'aten::empty_strided'), 10570.567000040784, 0.03299540420043263%, 474
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::fill_'), 9649.92900000047, 0.03012168674199441%, 40
('aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::add_'), 8470.321000011638, 0.026439609635104565%, 474
('aten::empty_like', 'aten::empty', 'aten::select', 'aten::as_strided'), 8300.254999990604, 0.025908758602097237%, 312
('aten::zero_', 'aten::zero_', 'aten::fill_', 'aten::zero_'), 7505.179000005126, 0.023426975553989905%, 40
('aten::mm', 'aten::empty', 'aten::t', 'aten::transpose'), 7505.087999999989, 0.023426691502817273%, 6
('aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::fill_'), 7496.192999998108, 0.023398926282614443%, 40
('aten::conj', 'aten::mm', 'aten::empty', 'aten::t'), 7479.069999999134, 0.023345477843558338%, 6
('aten::fill_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 7459.308000002988, 0.02328379192096977%, 40
('aten::as_strided', 'aten::conj', 'aten::mm', 'aten::empty'), 7424.19099999778, 0.023174176267478905%, 6
('aten::transpose', 'aten::as_strided', 'aten::conj', 'aten::mm'), 7413.735999995144, 0.023141541598874927%, 6
('aten::empty', 'aten::select', 'aten::as_strided', 'aten::select'), 7245.645999987741, 0.022616858533881953%, 468
('aten::zero_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 6892.839999996126, 0.02151559532122588%, 275
('aten::empty_strided', 'aten::zero_', 'aten::zeros_like', 'aten::empty_like'), 6829.904999998398, 0.0213191474141958%, 275
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::zeros_like'), 6780.780999997631, 0.02116580973269195%, 275
('aten::relu_', 'aten::threshold_', 'aten::mean', 'aten::sum'), 6549.964000000386, 0.020445328020480016%, 3
('aten::as_strided', 'aten::empty_like', 'aten::empty', 'aten::select'), 6275.137000012313, 0.01958747167750771%, 156
('aten::select', 'aten::as_strided', 'aten::empty_like', 'aten::empty'), 6178.04000000107, 0.019284389093384452%, 156
('aten::to', 'aten::div', 'aten::to', 'aten::empty_strided'), 6159.68599999696, 0.01922709816009506%, 3
