kList(5),            Time(us),                Time%,   Calls (124, sorted by time)
-------------------------------------------------------------
('aten::expand', 'aten::to', 'aten::div', 'aten::hardtanh_backward', 'aten::native_batch_norm_backward'), 409352.5889999978, 1.0717786791598145%, 3
('aten::add_', 'aten::add_', 'aten::mkldnn_convolution_backward', 'aten::add', 'aten::add_'), 392184.965000011, 1.0268299140378763%, 20
('aten::mkldnn_convolution_backward', 'aten::add', 'aten::detach', 'aten::native_batch_norm_backward', 'aten::detach'), 311134.9649999924, 0.814622481423047%, 10
('aten::detach', 'aten::mkldnn_convolution_backward', 'aten::add', 'aten::detach', 'aten::native_batch_norm_backward'), 311050.24799999595, 0.8144006729459579%, 10
('aten::zero_', 'aten::conv2d', 'aten::add', 'aten::batch_norm', 'aten::hardtanh_'), 287463.4260000009, 0.7526449796682186%, 2
('aten::zero_', 'aten::zero_', 'aten::conv2d', 'aten::add', 'aten::batch_norm'), 279555.1699999962, 0.7319393571855359%, 2
('aten::div', 'aten::hardtanh_backward', 'aten::native_batch_norm_backward', 'aten::add_', 'aten::add_'), 274392.55999999866, 0.7184224637408614%, 2
('aten::to', 'aten::div', 'aten::hardtanh_backward', 'aten::native_batch_norm_backward', 'aten::add_'), 274326.73999999836, 0.7182501319306853%, 2
('aten::add', 'aten::add_', 'aten::native_batch_norm_backward', 'aten::add_', 'aten::add_'), 241366.2669999972, 0.6319520769880692%, 20
('aten::sqrt', 'aten::div', 'aten::add_', 'aten::addcdiv_', 'aten::mul_'), 229386.3109998647, 0.600585812884107%, 471
('aten::div', 'aten::add_', 'aten::addcdiv_', 'aten::mul_', 'aten::add_'), 227125.90299986303, 0.5946675478829685%, 471
('aten::mul_', 'aten::addcmul_', 'aten::sqrt', 'aten::div', 'aten::add_'), 217033.9299999848, 0.5682444549733837%, 474
('aten::add_', 'aten::addcdiv_', 'aten::mul_', 'aten::add_', 'aten::mul_'), 215133.4049998559, 0.5632684459555236%, 471
('aten::addcmul_', 'aten::sqrt', 'aten::div', 'aten::add_', 'aten::addcdiv_'), 206904.11899983883, 0.5417222935271908%, 473
('aten::add_', 'aten::mul_', 'aten::addcmul_', 'aten::sqrt', 'aten::div'), 202747.16999997757, 0.5308384505318653%, 474
('aten::addcdiv_', 'aten::mul_', 'aten::add_', 'aten::mul_', 'aten::addcmul_'), 200515.0499998927, 0.524994249982746%, 471
('aten::detach', 'aten::detach', 'aten::mkldnn_convolution_backward', 'aten::add', 'aten::detach'), 200376.67899999954, 0.5246319630655878%, 10
('aten::mul_', 'aten::add_', 'aten::mul_', 'aten::addcmul_', 'aten::sqrt'), 191423.8189999964, 0.5011913284553445%, 474
('aten::zeros_like', 'aten::zeros_like', 'aten::zeros_like', 'aten::zeros_like', 'aten::zeros_like'), 144765.32299996912, 0.3790287171557418%, 312
('aten::empty', 'aten::conv2d', 'aten::add', 'aten::batch_norm', 'aten::hardtanh_'), 139914.15799999997, 0.36632725793508625%, 1
('aten::zeros', 'aten::empty', 'aten::conv2d', 'aten::add', 'aten::batch_norm'), 135467.821, 0.3546857309849308%, 1
('aten::div', 'aten::hardtanh_backward', 'aten::native_batch_norm_backward', 'aten::detach', 'aten::detach'), 135048.5420000013, 0.3535879626920373%, 1
('aten::to', 'aten::div', 'aten::hardtanh_backward', 'aten::native_batch_norm_backward', 'aten::detach'), 135021.62900000066, 0.3535174983042014%, 1
('aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::conv2d', 'aten::add'), 128806.40699999407, 0.3372446259568566%, 2
('aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::conv2d'), 128670.39399999194, 0.33688851282258536%, 2
('aten::add', 'aten::detach', 'aten::native_batch_norm_backward', 'aten::detach', 'aten::detach'), 122679.81899999641, 0.3212038176882813%, 10
('aten::mkldnn_convolution_backward', 'aten::add_', 'aten::zeros', 'aten::empty', 'aten::mul_'), 86316.18900000304, 0.22599551956548797%, 2
('aten::add_', 'aten::add_', 'aten::mkldnn_convolution_backward', 'aten::add_', 'aten::zeros'), 86158.37799999863, 0.22558233428295488%, 2
('aten::add_', 'aten::mkldnn_convolution_backward', 'aten::add_', 'aten::zeros', 'aten::empty'), 86073.3180000037, 0.22535962775344054%, 2
('aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::zero_'), 56554.30900004506, 0.1480721124762805%, 308
('aten::mkldnn_convolution_backward', 'aten::detach', 'aten::zeros', 'aten::empty', 'aten::zeros_like'), 43449.11499999836, 0.11375971799548426%, 1
('aten::detach', 'aten::detach', 'aten::mkldnn_convolution_backward', 'aten::detach', 'aten::zeros'), 43405.25399999879, 0.11364487986837968%, 1
('aten::detach', 'aten::mkldnn_convolution_backward', 'aten::detach', 'aten::zeros', 'aten::empty'), 43369.640000000596, 0.11355163427300942%, 1
('aten::reshape', 'aten::expand', 'aten::to', 'aten::div', 'aten::hardtanh_backward'), 26438.71700000018, 0.06922260649227377%, 3
('aten::mul', 'aten::reshape', 'aten::expand', 'aten::to', 'aten::div'), 15676.9550000038, 0.04104585282872612%, 3
('aten::mm', 'aten::t', 'aten::conj', 'aten::mm', 'aten::t'), 11913.086999997497, 0.031191185771572927%, 3
('aten::adaptive_avg_pool2d', 'aten::reshape', 'aten::dropout', 'aten::t', 'aten::addmm'), 11803.637000001036, 0.030904620645120905%, 3
('aten::conj', 'aten::mm', 'aten::t', 'aten::conj', 'aten::mm'), 11735.639000000432, 0.030726586332930055%, 3
('aten::reshape', 'aten::dropout', 'aten::t', 'aten::addmm', 'aten::empty'), 9148.907999997027, 0.02395393310189013%, 3
('aten::dropout', 'aten::t', 'aten::addmm', 'aten::empty', 'aten::random_'), 9089.795000000857, 0.02379916175132449%, 3
('aten::t', 'aten::conj', 'aten::mm', 'aten::t', 'aten::sum'), 8668.074999997392, 0.022695002362267857%, 3
('aten::conj', 'aten::mm', 'aten::t', 'aten::sum', 'aten::view'), 8494.752999994904, 0.02224120573504778%, 3
('aten::addmm', 'aten::empty', 'aten::random_', 'aten::log_softmax', 'aten::nll_loss'), 8010.891999997199, 0.020974346999058476%, 3
('aten::t', 'aten::addmm', 'aten::empty', 'aten::random_', 'aten::log_softmax'), 7844.01999999769, 0.020537437946681062%, 3
('aten::hardtanh_', 'aten::adaptive_avg_pool2d', 'aten::reshape', 'aten::dropout', 'aten::t'), 6927.53599999845, 0.018137873274597618%, 3
('aten::mm', 'aten::t', 'aten::sum', 'aten::view', 'aten::add_'), 5364.250999994576, 0.014044835689205646%, 2
('aten::nll_loss_backward', 'aten::_log_softmax_backward_data', 'aten::t', 'aten::conj', 'aten::mm'), 4992.794000001624, 0.013072276327141577%, 3
('aten::_log_softmax_backward_data', 'aten::t', 'aten::conj', 'aten::mm', 'aten::t'), 4473.337000001222, 0.01171221912388604%, 3
('aten::sum', 'aten::view', 'aten::add_', 'aten::t', 'aten::add_'), 4361.692999996245, 0.011419909603739209%, 2
('aten::t', 'aten::add_', 'aten::conj', 'aten::mul', 'aten::reshape'), 4360.357000000775, 0.011416411650265893%, 2
('aten::add_', 'aten::t', 'aten::add_', 'aten::conj', 'aten::mul'), 4345.484999995679, 0.01137747335367208%, 2
('aten::add_', 'aten::conj', 'aten::mul', 'aten::reshape', 'aten::expand'), 4336.160000000149, 0.011353058371461297%, 2
('aten::view', 'aten::add_', 'aten::t', 'aten::add_', 'aten::conj'), 4257.982999991626, 0.011148373109754516%, 2
('aten::t', 'aten::conj', 'aten::mm', 'aten::t', 'aten::conj'), 4076.9550000000745, 0.010674400412535572%, 3
('aten::zeros_like', 'aten::zeros_like', 'aten::zeros_like', 'aten::zeros_like', 'aten::mul_'), 3945.7509999983013, 0.010330878339874672%, 1
('aten::mm', 'aten::t', 'aten::sum', 'aten::view', 'aten::detach'), 3192.854000000283, 0.008359621839036302%, 1
('aten::log_softmax', 'aten::nll_loss', 'aten::ones_like', 'aten::nll_loss_backward', 'aten::_log_softmax_backward_data'), 2426.088999994099, 0.006352055743167277%, 3
('aten::nll_loss', 'aten::ones_like', 'aten::nll_loss_backward', 'aten::_log_softmax_backward_data', 'aten::t'), 2156.4379999963567, 0.005646047767701157%, 3
('aten::random_', 'aten::log_softmax', 'aten::nll_loss', 'aten::ones_like', 'aten::nll_loss_backward'), 2105.6689999988303, 0.005513122917042368%, 3
('aten::zeros_like', 'aten::zeros_like', 'aten::zeros_like', 'aten::mul_', 'aten::add_'), 2084.060999998823, 0.0054565482322312415%, 1
