kList(5),            Time(us),                Time%,   Calls (Top 188, sorted by calls)
-------------------------------------------------------------
('aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::select'), 6737678.51999013, 6.735069245191427%, 750654
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided'), 5313425.801992054, 5.3113680920554955%, 750654
('aten::narrow', 'aten::slice', 'aten::as_strided', 'aten::narrow', 'aten::slice'), 36292.33900005277, 0.03627828420577046%, 1605
('aten::slice', 'aten::as_strided', 'aten::narrow', 'aten::slice', 'aten::as_strided'), 27035.168000102043, 0.027024698194762994%, 1605
('aten::as_strided', 'aten::narrow', 'aten::slice', 'aten::as_strided', 'aten::narrow'), 23983.019000072964, 0.023973731188716565%, 1431
('aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty'), 579683.6719998308, 0.5794591801378219%, 1095
('aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::add_'), 54456.14899979159, 0.054435059976799774%, 1092
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::add_', 'aten::mul_'), 54259.96899982169, 0.054238955950702536%, 1092
('aten::empty_strided', 'aten::copy_', 'aten::add_', 'aten::mul_', 'aten::to'), 53154.06399987638, 0.053133479230325256%, 1092
('aten::copy_', 'aten::add_', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 53111.27599996142, 0.05309070780075416%, 1092
('aten::add_', 'aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 52082.706999946386, 0.052062537130692456%, 1092
('aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcmul_'), 48144.82900008187, 0.04812618413766745%, 1092
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcmul_', 'aten::addcmul'), 32455.33199999109, 0.03244276314862487%, 1092
('aten::empty_strided', 'aten::copy_', 'aten::addcmul_', 'aten::addcmul', 'aten::sqrt'), 48958.403999928385, 0.048939444067458655%, 1092
('aten::copy_', 'aten::addcmul_', 'aten::addcmul', 'aten::sqrt', 'aten::empty'), 49579.02399983071, 0.049559823722245%, 1092
('aten::addcmul_', 'aten::addcmul', 'aten::sqrt', 'aten::empty', 'aten::div'), 343452.876999747, 0.34331986932746955%, 1092
('aten::addcmul', 'aten::sqrt', 'aten::empty', 'aten::div', 'aten::to'), 600859.540999664, 0.6006268484404629%, 1092
('aten::sqrt', 'aten::empty', 'aten::div', 'aten::to', 'aten::empty_strided'), 591422.1289996393, 0.591193091230619%, 1092
('aten::empty', 'aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 572464.4879997522, 0.5722427918833141%, 1092
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::add_'), 667555.9939999133, 0.6672974721623547%, 1092
('aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::add_', 'aten::to'), 401751.60700010695, 0.4015960222032999%, 1092
('aten::copy_', 'aten::empty', 'aten::add_', 'aten::to', 'aten::empty_strided'), 401704.7400001455, 0.4015491733533409%, 1092
('aten::empty', 'aten::add_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 401522.65700016357, 0.4013671608679408%, 1092
('aten::add_', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcdiv_'), 421850.8580002412, 0.4216874894439461%, 1092
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcdiv_', 'aten::addcdiv'), 48625.75700029358, 0.04860692589074564%, 1091
('aten::empty', 'aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided'), 14784.225999919785, 0.014778500569683618%, 1089
('aten::empty_strided', 'aten::copy_', 'aten::addcdiv_', 'aten::addcdiv', 'aten::mul_'), 68502.51400017738, 0.06847598529553554%, 1089
('aten::copy_', 'aten::addcdiv_', 'aten::addcdiv', 'aten::mul_', 'aten::to'), 74100.93000011519, 0.07407223321848096%, 1089
('aten::addcdiv_', 'aten::addcdiv', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 72245.18200001493, 0.0722172038867581%, 1089
('aten::addcdiv', 'aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 53616.26299988106, 0.05359549923630415%, 1089
('aten::add', 'aten::add', 'aten::add', 'aten::add', 'aten::add'), 1398047.6959997425, 1.3975062794554929%, 981
('aten::empty_like', 'aten::empty', 'aten::select', 'aten::as_strided', 'aten::select'), 15801.625999889715, 0.01579550656507582%, 726
('aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::zeros_like'), 14948.2650000453, 0.01494247604305763%, 507
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::zeros_like', 'aten::empty_like'), 13088.529000045732, 0.013083460255852816%, 507
('aten::empty_strided', 'aten::zero_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 12023.433000028133, 0.012018776731459102%, 507
('aten::zero_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 17010.88400004618, 0.017004296260546097%, 507
('aten::add', 'aten::batch_norm', 'aten::_batch_norm_impl_index', 'aten::empty', 'aten::native_batch_norm'), 24614527.127999883, 24.60499475492412%, 363
('aten::batch_norm', 'aten::_batch_norm_impl_index', 'aten::empty', 'aten::native_batch_norm', 'aten::empty'), 24609826.024999935, 24.600295472502218%, 363
('aten::_batch_norm_impl_index', 'aten::empty', 'aten::native_batch_norm', 'aten::empty', 'aten::empty'), 16404689.527999943, 16.39833654709725%, 363
