kList(4),            Time(us),                Time%,   Calls (Top 178, sorted by calls)
-------------------------------------------------------------
('aten::as_strided', 'aten::conj', 'aten::mm', 'aten::empty'), 7328.046999997459, 0.007325209095472321%, 6
('aten::conj', 'aten::mm', 'aten::empty', 'aten::t'), 7380.48499999661, 0.007377626788009266%, 6
('aten::mm', 'aten::empty', 'aten::t', 'aten::transpose'), 7408.860999995843, 0.0074059917989443185%, 6
('aten::empty', 'aten::t', 'aten::transpose', 'aten::as_strided'), 145.39499999210238, 0.00014533869343069384%, 6
('aten::as_strided', 'aten::relu_', 'aten::threshold_', 'aten::max_pool2d'), 642781.4589999961, 0.6425325315011452%, 3
('aten::relu_', 'aten::threshold_', 'aten::max_pool2d', 'aten::max_pool2d_with_indices'), 1230203.251999999, 1.229726835926836%, 3
('aten::threshold_', 'aten::max_pool2d', 'aten::max_pool2d_with_indices', 'aten::empty'), 1202507.0659999985, 1.2020413757220687%, 3
('aten::max_pool2d', 'aten::max_pool2d_with_indices', 'aten::empty', 'aten::empty'), 1174885.1149999995, 1.1744301217686%, 3
('aten::max_pool2d_with_indices', 'aten::empty', 'aten::empty', 'aten::resize_'), 587507.3990000002, 0.5872798772733826%, 3
('aten::empty', 'aten::resize_', 'aten::resize_', 'aten::cat'), 13257.577999998466, 0.013252443788850723%, 3
('aten::resize_', 'aten::resize_', 'aten::cat', 'aten::_cat'), 26351.64199999493, 0.02634143690113617%, 3
('aten::as_strided', 'aten::relu_', 'aten::threshold_', 'aten::adaptive_avg_pool2d'), 4644.675999996252, 0.004642877274218675%, 3
('aten::relu_', 'aten::threshold_', 'aten::adaptive_avg_pool2d', 'aten::mean'), 6169.249999993481, 0.006166860858317438%, 3
('aten::threshold_', 'aten::adaptive_avg_pool2d', 'aten::mean', 'aten::sum'), 5946.816999999806, 0.0059445139990945885%, 3
('aten::adaptive_avg_pool2d', 'aten::mean', 'aten::sum', 'aten::empty'), 4433.865999996662, 0.004432148913795488%, 3
('aten::mean', 'aten::sum', 'aten::empty', 'aten::fill_'), 2932.1489999936894, 0.0029310134779486664%, 3
('aten::sum', 'aten::empty', 'aten::fill_', 'aten::div_'), 1538.3679999904707, 0.0015377722421427793%, 3
('aten::empty', 'aten::fill_', 'aten::div_', 'aten::to'), 249.08499998878688, 0.00024898853780061964%, 3
('aten::fill_', 'aten::div_', 'aten::to', 'aten::empty_strided'), 241.10099999792874, 0.00024100762974267384%, 3
('aten::div_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 208.75600000098348, 0.00020867515586924515%, 3
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::flatten'), 125.54100000672042, 0.00012549238222738445%, 3
('aten::empty_strided', 'aten::copy_', 'aten::flatten', 'aten::view'), 101.38000000827014, 0.00010134073896630601%, 3
('aten::copy_', 'aten::flatten', 'aten::view', 'aten::t'), 131.34200000111014, 0.00013129113569085887%, 3
('aten::flatten', 'aten::view', 'aten::t', 'aten::transpose'), 124.34700000938028, 0.00012429884462582255%, 3
('aten::view', 'aten::t', 'aten::transpose', 'aten::as_strided'), 79.46800000965595, 7.943722474349961e-05%, 3
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::addmm'), 5077.0750000067055, 0.005075108820734521%, 3
('aten::transpose', 'aten::as_strided', 'aten::addmm', 'aten::empty'), 5043.43500001356, 0.005041481848374551%, 3
('aten::as_strided', 'aten::addmm', 'aten::empty', 'aten::expand'), 5044.081000003964, 0.0050421275981910275%, 3
('aten::addmm', 'aten::empty', 'aten::expand', 'aten::as_strided'), 5042.6660000011325, 0.0050407131461697955%, 3
('aten::empty', 'aten::expand', 'aten::as_strided', 'aten::copy_'), 78.03800000157207, 7.800777852600877e-05%, 3
('aten::expand', 'aten::as_strided', 'aten::copy_', 'aten::empty'), 159.32599999848753, 0.00015926429843238568%, 3
('aten::as_strided', 'aten::copy_', 'aten::empty', 'aten::random_'), 188.03600000403821, 0.00018796318002686004%, 3
('aten::copy_', 'aten::empty', 'aten::random_', 'aten::log_softmax'), 439.4670000048354, 0.00043929680931310497%, 3
('aten::empty', 'aten::random_', 'aten::log_softmax', 'aten::_log_softmax'), 616.5650000032037, 0.0006163262252514108%, 3
('aten::random_', 'aten::log_softmax', 'aten::_log_softmax', 'aten::empty'), 537.3500000033528, 0.0005371419025393773%, 3
('aten::log_softmax', 'aten::_log_softmax', 'aten::empty', 'aten::nll_loss'), 574.7010000068694, 0.0005744784377650441%, 3
('aten::_log_softmax', 'aten::empty', 'aten::nll_loss', 'aten::nll_loss_forward'), 382.54600000940263, 0.0003823978528940115%, 3
('aten::empty', 'aten::nll_loss', 'aten::nll_loss_forward', 'aten::empty'), 147.05800000857562, 0.0001470010494235586%, 3
('aten::nll_loss', 'aten::nll_loss_forward', 'aten::empty', 'aten::empty'), 143.55800000578165, 0.00014350240485227944%, 3
('aten::nll_loss_forward', 'aten::empty', 'aten::empty', 'aten::resize_'), 69.10300000105053, 6.907623874850893e-05%, 3
('aten::empty', 'aten::resize_', 'aten::resize_', 'aten::ones_like'), 39.30899999383837, 3.9293776948876835e-05%, 3
('aten::resize_', 'aten::resize_', 'aten::ones_like', 'aten::empty_like'), 52.99699999578297, 5.2976476051803516e-05%, 3
('aten::resize_', 'aten::ones_like', 'aten::empty_like', 'aten::empty_strided'), 53.33299999311566, 5.3312345927711925e-05%, 3
('aten::ones_like', 'aten::empty_like', 'aten::empty_strided', 'aten::fill_'), 56.291000000201166, 5.6269200401532486e-05%, 3
('aten::nll_loss_backward', 'aten::zeros_like', 'aten::empty_like', 'aten::empty'), 419.11200000252575, 0.000418949692113214%, 3
('aten::empty_like', 'aten::empty', 'aten::zero_', 'aten::resize_as_'), 163.34599999338388, 0.0001632827416173739%, 3
('aten::empty', 'aten::zero_', 'aten::resize_as_', 'aten::resize_'), 102.98299998790026, 0.00010294311815831073%, 3
('aten::zero_', 'aten::resize_as_', 'aten::resize_', 'aten::zero_'), 69.46899998839945, 6.944209699645303e-05%, 3
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::sum'), 166.00299998745322, 0.00016593871264529358%, 3
('aten::transpose', 'aten::as_strided', 'aten::sum', 'aten::empty'), 131.07799999043345, 0.00013102723791844905%, 3
('aten::as_strided', 'aten::sum', 'aten::empty', 'aten::fill_'), 122.36400000099093, 0.00012231661256620552%, 3
('aten::sum', 'aten::empty', 'aten::fill_', 'aten::view'), 130.74200000055134, 0.00013069136804998835%, 3
('aten::expand', 'aten::as_strided', 'aten::to', 'aten::div'), 7456.901999995112, 0.007454014194290631%, 3
('aten::as_strided', 'aten::to', 'aten::div', 'aten::to'), 7467.5769999930635, 0.007464685060222466%, 3
('aten::to', 'aten::div', 'aten::to', 'aten::empty_strided'), 7468.191999990493, 0.007465299822051217%, 3
('aten::max_pool2d_with_indices_backward', 'aten::zeros_like', 'aten::empty_like', 'aten::empty'), 360449.4760000035, 0.3603098861203228%, 3
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::empty'), 676029.4900000021, 0.6757676866642977%, 3
('aten::copy_', 'aten::addcdiv_', 'aten::addcdiv', 'aten::zeros'), 43.06799999624491, 4.3051321217836684e-05%, 2
('aten::addcdiv_', 'aten::addcdiv', 'aten::zeros', 'aten::empty'), 42.044999996200204, 4.2028717391060156e-05%, 2
('aten::addcdiv', 'aten::zeros', 'aten::empty', 'aten::zero_'), 28.14999999664724, 2.8139098454616577e-05%, 2
('aten::empty', 'aten::zero_', 'aten::zero_', 'aten::zero_'), 31.241999998688698, 3.122990102973139e-05%, 2
('aten::zero_', 'aten::fill_', 'aten::zero_', 'aten::conv2d'), 309167.76199999824, 0.3090480317920988%, 2
('aten::fill_', 'aten::zero_', 'aten::conv2d', 'aten::convolution'), 616119.4470000006, 0.6158808447958025%, 2
('aten::zero_', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 923063.2069999985, 0.922705735868586%, 2
('aten::add_', 'aten::zeros', 'aten::empty', 'aten::zero_'), 94.2529999949038, 9.421649899877297e-05%, 2
('aten::empty', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 143.94099999591708, 0.00014388525651948448%, 2
('aten::empty', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 195103.943, 0.1950283858477721%, 1
('aten::new_empty_strided', 'aten::empty_strided', 'aten::copy_', 'aten::zeros'), 62.87200000137091, 6.28476518041898e-05%, 1
('aten::empty_strided', 'aten::copy_', 'aten::zeros', 'aten::empty'), 44.88000000268221, 4.486261949801352e-05%, 1
('aten::copy_', 'aten::zeros', 'aten::empty', 'aten::zero_'), 36.2090000025928, 3.619497748268291e-05%, 1
('aten::empty', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 26.826999997720122, 2.6816610808801242e-05%, 1
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::mul_'), 39.58499999716878, 3.956967006674944e-05%, 1
('aten::empty_strided', 'aten::zero_', 'aten::mul_', 'aten::to'), 43.83799999766052, 4.3821023024318725e-05%, 1
('aten::zero_', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 43.1929999999702, 4.317627281329219e-05%, 1
Total time: 100038741.61799549us
